pol	phi	weight
0.346074	8.0211	-0.065
0.3384	-164.934	1
0.34498	120.467	-0.065
0.332496	49.4006	-0.065
0.3384	49.4006	-0.065
-0.332486	-111.77	1
0.348114	38.3694	1
0.3384	38.3694	-0.065
-0.334048	100.25	-0.065
-0.347226	100.25	1
-0.327765	64.1377	-0.065
0.326352	-89.0255	-0.065
0.350897	35.3477	-0.065
0.349649	35.3477	1
0.350273	35.3477	-0.065
-0.354666	-104.617	1
0.32009	174.43	1
0.3384	-29.5491	1
0.304424	-123.521	-0.065
0.327901	67.5005	-0.065
-0.347226	-144.429	1
-0.351739	165.775	-0.065
-0.354988	165.775	1
-0.311949	-75.2257	-0.065
-0.350829	-93.9323	-0.065
-0.346934	-93.9323	1
-0.322187	-93.9323	-0.065
0.316697	56.9146	-0.065
0.34123	-98.0783	-0.065
0.338379	-98.0783	-0.065
0.339818	-98.0783	-0.065
-0.35368	-41.673	-0.065
-0.35368	-49.6032	1
0.352894	-3.52329	1
-0.356841	4.64115	1
0.344097	1.90116	-0.065
0.317866	-30.0355	1
0.354183	-104.072	-0.065
0.347995	-18.1294	-0.065
0.342684	-81.4239	-0.065
0.347274	-3.92474	1
-0.342023	23.4064	-0.065
0.321422	-31.9293	-0.065
0.343172	72.3509	-0.065
-0.339404	-53.6175	-0.065
0.353981	69.7647	-0.065
0.353526	-125.246	1
0.35183	-125.246	-0.065
-0.327586	37.9372	-0.065
0.332547	-88.7348	-0.065
-0.357741	17.2873	1
-0.359763	-116.046	1
-0.358658	-22.8772	-0.065
-0.325999	-177.614	-0.065
0.354932	88.4283	1
0.353981	88.4283	-0.065
0.341718	-106.787	-0.065
0.348539	-106.787	1
0.319842	-106.787	-0.065
-0.350847	-30.4088	-0.065
-0.357741	-159.024	1
-0.354693	24.2431	1
0.337204	-61.0801	-0.065
0.318273	-61.0801	1
0.354174	111.206	-0.065
0.326203	111.206	-0.065
-0.359763	-15.2051	1
-0.330775	-15.2051	-0.065
0.354174	28.8837	1
0.340426	-107.167	-0.065
0.356178	-175.037	1
0.340108	-175.037	-0.065
0.333834	-175.037	-0.065
