egamma	costheta	sigma	sigma_err
1550	-0.833333	-0.741309	0.309948
1550	-0.5	-0.32864	0.297251
1550	-0.166667	-0.0715206	0.281409
1550	0.166667	-0.324256	0.273867
1550	0.5	-0.115293	0.279513
1550	0.833333	-0.0780441	0.325741
1650	-0.833333	-0.611289	0.258925
1650	-0.5	-0.214957	0.230938
1650	-0.166667	-0.317616	0.202621
1650	0.166667	0.169137	0.19549
1650	0.5	-0.258178	0.191327
1650	0.833333	0.057574	0.231196
1750	-0.833333	0.209021	0.378862
1750	-0.5	0.22846	0.307949
1750	-0.166667	0.0128352	0.264703
1750	0.166667	-0.501859	0.249724
1750	0.5	0.0568132	0.248385
1750	0.833333	-0.220003	0.279441
