,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
0,-0.644347,0.209997,0.0552253,-0.155001,-0.540756,-0.200306,-0.772634,-0.0957036,-0.285034,-0.149644,-0.241119,-0.388286,0.481239,0.103847,0.00103978,-0.559767,0.143362,-0.722133
1,-0.621332,-0.66536,-0.0576809,-0.57459,-0.452526,0.0297957,-0.473252,-0.387152,-0.377102,0.605769,-0.31446,0.317508,-0.362932,0.40168,-0.200296,-0.553844,0.325956,-0.316142
2,-0.441113,-0.0776776,-0.154043,0.18333,-0.0539705,-0.145236,-0.432291,-0.100346,-0.359139,-0.324452,-0.389147,-0.257066,0.746804,0.574455,0.205234,-0.591316,0.27898,0.00631162
3,-0.637645,-0.0320805,0.177903,-0.57241,-0.302173,-0.0916412,-0.47518,-0.334818,-0.262202,0.580374,-0.111877,-0.0450572,-0.282408,0.258672,-0.0781192,-0.424988,0.475887,-0.662827
4,-0.477923,-0.36259,0.475558,-0.0948194,0.1201,0.119724,-0.558365,0.0291355,-0.57791,0.257074,-0.205491,0.214843,0.209359,0.0895707,-0.0851339,-0.208354,0.460328,-0.380505
5,-0.542295,-0.0193246,-0.445709,-0.0659253,-0.283709,-0.217269,-0.449267,-0.426708,-0.517282,0.141067,-0.431832,-0.0401225,0.135961,0.778236,0.182141,-0.619446,-0.264309,-0.00963654
6,-0.649283,-0.129325,-0.196962,-0.400382,-0.458491,-0.0926332,-0.450612,0.0405409,-0.362507,0.244907,-0.232242,0.262791,-0.0591237,-0.270551,-0.129628,-0.169882,-0.294693,-0.701001
7,-0.574247,-0.36144,0.0108781,-0.609905,-0.0675221,0.00799833,-0.326976,-0.502406,-0.135973,-0.0543425,-0.277293,-0.212023,0.0539958,0.55884,0.0770073,-0.869134,0.383533,-0.283144
8,-0.61907,-0.145218,0.0715519,0.0346194,-0.224163,0.302551,-0.495436,0.0864875,-0.479416,0.548362,-0.32313,0.441501,0.240825,0.206513,0.229766,-0.235791,-0.202759,-0.286712
9,-0.818827,-0.332427,-0.568418,-0.3544,-0.0850503,0.168509,-0.439844,-0.394151,-0.333097,0.32271,-0.228652,-0.245328,0.170715,0.100915,-0.200969,-0.560939,0.198016,-0.311694
10,-0.800644,-0.32995,0.484444,-0.066029,-0.137253,0.345876,-0.627842,-0.101903,-0.285196,0.0404113,-0.160743,0.422501,0.486997,0.25159,-0.33729,-0.170146,-0.0297254,-0.245761
11,-0.906685,-0.236095,0.113104,-0.501464,-0.0461766,-0.404781,-0.874331,-0.0220066,-0.444277,-0.0123466,-0.428226,-0.320683,0.40317,0.233974,0.135565,-0.765643,0.0527285,-0.578005
12,-0.386333,-0.464104,-0.344455,-0.42553,-0.143786,0.0229263,-0.622135,-0.345035,-0.274949,0.098219,-0.183424,0.275986,0.905751,0.215088,0.000872529,-0.733874,0.576007,-0.116641
13,-0.667557,-0.13711,0.118344,-0.157005,-0.0306786,-0.0712397,-0.552123,-0.118261,-0.167648,0.286941,-0.34186,0.307686,-0.509275,0.247878,-0.333216,-0.770279,-0.474352,-0.72584
14,-0.370199,-0.21795,0.0190284,-0.161738,-0.347074,-0.064062,-0.735547,0.00799892,-0.206078,0.0334897,-0.538081,0.443246,-0.278879,0.0814378,0.289156,-0.372708,0.3566,0.033202
