pol	phi	weight
0.367264	-176.723	1
-0.398605	-8.80894	1
0	-16.3044	-0.065
-0.396926	-81.9714	1
-0.408769	-100.083	-0.065
-0.372458	-100.083	-0.065
0.374969	-28.2301	1
0.378753	-127.719	-0.065
0.374969	-127.719	1
0.374969	2.71708	-0.065
0.386066	31.3468	1
-0.395205	149.853	1
0.397928	141.662	-0.065
-0.408264	-35.0827	1
-0.408769	70.7895	1
-0.380327	-49.488	1
0.396739	169.428	-0.065
-0.400048	142.851	-0.065
-0.379804	-95.4335	1
-0.360742	-95.4335	-0.065
-0.40281	172.753	1
0.387001	177.008	-0.065
-0.376074	8.08789	-0.065
0.369696	16.5583	-0.065
-0.393148	74.2411	-0.065
0.354654	124.788	-0.065
-0.393148	131.598	1
0.389705	135.702	1
0.366054	135.702	-0.065
0.396739	127.157	1
-0.38707	52.998	-0.065
0.396371	23.4756	-0.065
0.34082	135.282	1
-0.407205	-127.956	1
0.379974	-130.548	-0.065
0.358966	-109.654	1
0.362659	0.232539	1
0.390273	-170.134	1
0.379974	-172.264	-0.065
0.373388	-73.4543	-0.065
0.350193	-73.4543	-0.065
0.358326	149.253	-0.065
0.376639	149.253	-0.065
-0.394016	-52.348	-0.065
0.383502	-91.1907	1
-0.3866	-18.6447	1
0.393988	-6.41925	1
0.358744	-45.7751	1
-0.395879	112.06	-0.065
-0.403932	112.06	-0.065
0.392791	-144.761	1
-0.409586	-34.1302	1
0.369374	135.258	-0.065
0.396385	-167.965	-0.065
-0.40648	92.6889	1
-0.400856	81.984	-0.065
-0.38469	-43.5986	-0.065
-0.37889	-43.5986	1
0.365862	0.582206	1
-0.39036	-129.943	1
0.385093	-15.4469	-0.065
0.358744	-15.4469	1
0.362442	142.878	1
-0.395879	-1.89009	-0.065
-0.388488	-58.6828	1
0.397439	-38.9665	-0.065
0.376562	23.8079	1
0.392482	31.2742	1
-0.390966	-88.6956	1
0.391818	-14.2515	-0.065
0.396373	-14.2515	1
-0.395169	-127.954	-0.065
-0.409196	127.436	1
-0.408037	168.448	1
0.3694	-18.3222	1
0.395636	131.142	-0.065
-0.409196	43.8433	1
0.397439	100.558	1
-0.38431	-117.29	-0.065
-0.403991	-68.4243	1
-0.38431	-68.4243	-0.065
-0.401439	131.837	1
0.387077	97.5741	-0.065
0.371852	97.5741	1
0.385559	74.7956	1
0.375473	156.008	1
0.364675	53.1432	-0.065
0.395761	-157.395	-0.065
0.357555	42.0186	1
0.394896	94.874	-0.065
-0.372774	-73.7956	1
-0.403991	94.0236	-0.065
-0.380516	94.0236	1
0.391519	-150.654	1
-0.405559	26.3529	-0.065
-0.407205	26.3529	-0.065
-0.40411	68.9606	1
-0.368849	68.9606	-0.065
0.395761	-14.7105	1
0.39324	-14.7105	1
0.353693	-175.229	1
-0.388042	80.7132	1
0.395761	137.5	-0.065
-0.388042	-63.4929	-0.065
-0.403991	152.382	1
-0.407354	152.382	-0.065
0.395455	-176.574	1
-0.407354	82.3992	1
-0.376668	137.062	1
0.395761	74.262	1
0.39324	74.262	-0.065
0.380714	74.262	-0.065
0.395792	104.158	-0.065
0.391519	-96.2009	1
-0.401269	18.2037	-0.065
-0.378509	-73.9405	-0.065
0.39324	15.3035	-0.065
0.395457	15.3035	-0.065
0.394913	15.3035	-0.065
-0.390002	-7.76607	-0.065
0.3682	78.2893	1
0.371852	6.04098	-0.065
-0.399395	-29.6498	-0.065
-0.390002	-93.2734	-0.065
-0.390668	128.264	-0.065
0.356099	48.3796	1
-0.388645	91.7161	1
-0.400662	173.738	-0.065
0.379406	36.0532	1
0.39038	-70.3508	1
0.363031	-83.1573	1
-0.378539	78.6944	-0.065
-0.369549	78.6944	-0.065
-0.401025	63.2022	-0.065
-0.394209	154.978	1
-0.377139	-120.463	-0.065
0.372269	-163.244	1
-0.393611	-57.9675	1
0.395617	-174.279	1
0.372269	-70.1572	-0.065
-0.377139	95.1078	-0.065
-0.400052	95.1078	1
0.374092	-30.6509	-0.065
0.348498	-48.4525	-0.065
-0.402935	-67.0659	-0.065
-0.3951	39.6769	-0.065
0.395617	-117.492	1
0.381122	134.341	1
-0.391652	-3.55123	1
-0.385347	-3.55123	-0.065
-0.388771	164.772	1
0.353953	86.6454	1
-0.385347	-159.493	1
0.348498	-84.9236	1
-0.376811	85.3977	1
0.377664	136.583	-0.065
0.391816	151.481	-0.065
0.358359	151.481	1
0.371038	-148.634	1
0.345615	-115.366	-0.065
0.389019	23.1332	1
-0.400104	142.708	1
0.389019	140.512	-0.065
0.390737	78.8576	-0.065
0.391816	78.8576	1
0.384102	78.8576	-0.065
0.384102	78.8576	-0.065
0.367436	116.961	1
0.379547	131.652	1
-0.383582	113.06	1
0.377922	62.5029	-0.065
-0.40023	-153.156	-0.065
0.391127	154.123	-0.065
0.389019	36.2417	1
0.347332	36.2417	-0.065
-0.379817	96.2401	-0.065
-0.386826	151.012	1
0.393839	40.7125	-0.065
0.368275	-37.4087	-0.065
-0.399863	155.994	1
-0.399281	85.2522	1
-0.390056	85.2522	-0.065
-0.386826	-107.053	1
0.357427	-1.83553	1
0.386796	132.147	1
0.394346	-135.302	-0.065
0.357427	-135.302	1
-0.393028	124.65	-0.065
-0.377997	124.65	1
-0.383387	11.1502	1
0.35023	-144.25	1
-0.363662	-48.1426	-0.065
0.371911	-30.2388	1
-0.361782	-80.8106	-0.065
-0.367174	13.1445	1
-0.399281	-18.8089	1
0.345715	-20.88	-0.065
0.360897	-20.88	-0.065
-0.379817	-40.8168	1
0.38383	134.141	-0.065
-0.394398	-124.731	-0.065
-0.368871	167.836	-0.065
0.394346	-75.201	1
0.385355	-15.9831	-0.065
0.366428	-15.9831	-0.065
0.394346	-164.551	1
0.386796	-164.551	-0.065
-0.400149	-129.685	1
0.382248	127.646	-0.065
0.360897	-65.7814	-0.065
0.382248	-55.2779	-0.065
0.378936	81.8633	1
0.393587	-63.4438	1
-0.357908	171.453	1
-0.388469	-28.038	-0.065
-0.398445	10.821	-0.065
-0.361782	162.58	1
-0.376162	143.589	1
0.382248	11.3197	1
0.35023	-13.1184	1
-0.395896	-48.1691	1
0.394081	62.1295	-0.065
-0.395671	8.63311	1
0.386796	-178.183	-0.065
0.38061	-109.142	-0.065
0.357427	-109.142	1
-0.390056	-67.0772	1
-0.374307	-67.0772	-0.065
-0.372456	-1.60837	-0.065
0.368265	49.1028	1
-0.393028	-166.848	1
-0.372456	-57.4751	1
0.390594	-133.4	1
-0.393028	102.429	1
0.386796	32.9315	-0.065
-0.395896	-58.6104	1
0.394346	139.654	-0.065
0.378936	139.654	-0.065
0.385355	139.654	1
0.393838	-136.574	1
-0.379817	-124.936	-0.065
-0.368871	57.0531	1
0.370102	-70.038	-0.065
-0.399881	-115.029	1
0.370102	-7.71811	-0.065
0.37548	-3.7995	1
-0.395896	-6.44385	1
0.359127	138.015	1
-0.391575	-177.825	-0.065
0.346374	131.993	-0.065
-0.377997	66.1899	1
0.388159	-90.3616	-0.065
0.368275	145.523	-0.065
0.373707	145.523	-0.065
-0.399392	74.7312	-0.065
-0.393028	-157.229	-0.065
-0.386826	-157.229	-0.065
0.391638	-148.467	-0.065
0.368275	-148.467	1
0.357427	-148.467	-0.065
0.378936	-112.588	1
0.390594	-173.582	-0.065
0.370102	-173.582	1
-0.400149	1.28207	1
-0.398445	165.371	-0.065
-0.395671	18.4071	1
-0.376162	18.4071	-0.065
-0.370514	18.4071	1
0.370102	155.131	-0.065
0.378936	155.131	1
-0.386826	21.8112	1
0.393839	19.2635	1
-0.395896	30.539	-0.065
0.394346	-14.0474	1
-0.398701	-147.062	1
0.368275	0.589639	1
0.37548	0.589639	-0.065
0.348305	-26.7357	1
0.393287	128.525	-0.065
0.357427	128.525	1
-0.399881	57.6195	-0.065
-0.398701	57.6195	1
-0.379817	150.945	-0.065
0.391638	-142.822	-0.065
-0.397835	150.77	-0.065
-0.391575	83.1403	-0.065
0.366428	-83.1406	-0.065
0.366428	-83.1406	1
-0.376162	-115.468	-0.065
-0.361782	-115.468	-0.065
0.360897	-99.2232	1
0.388159	-72.4181	1
-0.379817	-74.14	1
-0.3646	-83.0117	1
-0.398035	-137.157	1
-0.382704	-137.157	-0.065
-0.400314	98.9512	-0.065
-0.371712	98.9512	-0.065
-0.40014	40.7835	1
-0.384457	40.7835	-0.065
-0.355295	176.158	1
-0.359169	176.158	-0.065
0.354964	75.6509	1
0.358421	-132.928	-0.065
-0.399021	-47.4865	-0.065
-0.373582	-69.0926	1
-0.399301	-93.9008	-0.065
-0.395291	-93.9008	-0.065
-0.377286	97.0283	1
0.373075	-94.3303	1
0.376597	50.2601	-0.065
0.343895	50.2601	1
-0.377286	-147.526	1
0.383244	-85.2142	1
-0.373582	-25.552	-0.065
0.351492	-15.8525	1
-0.355295	-108.005	1
0.379995	-19.6255	-0.065
0.378311	-33.6295	-0.065
-0.366291	-125.516	-0.065
-0.356562	-125.516	-0.065
0.383244	57.9237	1
-0.359169	-17.6601	1
-0.395972	70.0806	-0.065
0.361606	149.007	1
0.345423	149.007	-0.065
-0.400071	-84.9803	1
0.38106	146.19	1
0.357898	127.046	-0.065
0.35095	156.168	-0.065
0.38106	97.054	-0.065
0.365302	97.054	-0.065
0.393334	-70.0142	1
-0.39009	44.114	1
-0.393186	-170.172	-0.065
0.345423	135.784	-0.065
0.35975	-99.0277	-0.065
-0.401115	12.0034	1
0.372541	-47.948	1
0.341579	-127.504	1
-0.401115	-38.0352	-0.065
0.388282	-111.788	1
0.387005	-103.264	-0.065
0.393334	-103.264	1
0.341568	-103.264	1
0.391372	-162.063	1
0.384171	-115.166	1
0.37776	96.2979	1
0.385837	-95.1504	1
-0.393186	-86.1203	1
-0.401083	61.1766	-0.065
0.381118	-112.347	-0.065
0.394562	-23.4655	-0.065
0.379445	-23.4655	-0.065
0.348912	-16.6375	1
-0.40009	120.816	1
-0.364016	120.816	-0.065
0.363261	3.57256	1
0.3899	9.13207	1
0.345058	153.367	1
0.393613	-148.973	1
0.356105	-58.5592	1
0.359578	149.285	-0.065
-0.401115	-91.557	1
-0.365245	-67.8617	1
-0.400128	163.155	-0.065
0.392073	-63.8588	1
