,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
0,-0.0817828,-0.208126,-0.108007,-0.0536945,-0.0287342,-0.102281,-0.0861575,-0.161619,-0.0255243,-0.0529912,-0.084112,0.02184,-0.16158,-0.00999778,-0.080279,-0.0162495,-0.0146942,0.0510896
1,-0.0940755,-0.167306,-0.0435434,-0.0637539,-0.0588883,-0.117609,-0.123913,-0.0897139,-0.020048,0.00528913,-0.0279951,0.0195628,-0.162855,-0.0429666,0.0274454,-0.15535,-0.0247238,0.106422
2,-0.146889,-0.165984,-0.0101838,-0.0889436,-0.0799357,-0.0513719,-0.104781,-0.162619,-0.0550343,0.0442393,-0.0531452,-0.0996773,-0.152218,-0.0321118,-0.0208365,-0.0510145,-0.0163865,0.0324622
3,-0.118577,-0.20657,-0.0538289,-0.064443,-0.0177633,-0.120558,-0.137402,-0.0839801,0.00791204,0.0126175,-0.0674687,-0.0130122,-0.14633,-0.0960751,-0.0330867,-0.156533,-0.00883029,0.119285
4,-0.0151535,-0.144866,-0.0748036,-0.082483,-0.0284406,-0.102093,-0.0840316,-0.150454,-0.0137259,0.0243317,-0.0540217,-0.128177,-0.163467,-0.0659053,-0.00517481,-0.0650636,-0.0822694,-0.0117868
5,-0.010533,-0.243663,-0.0747696,-0.0550949,-0.0535665,-0.107075,-0.077196,-0.0780379,0.0497476,0.0152519,-0.0766569,0.0191236,-0.143094,-0.0762752,-0.11915,-0.136441,-0.00111453,0.142857
6,-0.231076,-0.147303,-0.0737168,-0.0785258,-0.0455643,-0.102497,-0.133113,-0.15487,0.0324193,-0.00533206,-0.0554752,-0.00722558,-0.161995,-0.0825849,0.0532289,-0.169214,-0.0498366,-0.0390301
7,-0.0103376,-0.19948,-0.116596,-0.0563016,-0.0526685,-0.0831552,-0.109821,-0.0919492,-0.0780583,0.0147939,-0.0549621,-0.112774,-0.162114,-0.0206888,-0.0280727,-0.0388974,-0.0798879,-0.0629906
8,-0.0226837,-0.18252,-0.0399756,-0.068413,-0.0313299,-0.088482,-0.13606,-0.144978,0.0283328,-0.00362172,-0.0492999,-0.00669578,-0.150579,-0.0319238,-0.00549309,-0.15121,-0.00810627,0.0920536
9,-0.19265,-0.209682,-0.0896071,-0.0857083,-0.0452197,-0.0746326,-0.0915495,-0.108043,-0.0763122,0.0146722,-0.0658566,-0.014847,-0.100007,-0.0566717,-0.06913,-0.10173,-0.0774348,0.00362305
10,-0.0802148,-0.148977,-0.0681973,-0.0565483,-0.0429868,-0.090751,-0.0889776,-0.135606,0.0302631,0.0164683,-0.0180313,-0.0924932,-0.213285,-0.0206925,0.00957399,-0.121434,-0.0930554,0.0721281
11,-0.161845,-0.235605,-0.116215,-0.0761761,-0.0717012,-0.117049,-0.146761,-0.15161,-0.010881,0.00928289,0.00268087,-0.0358226,-0.115885,-0.0268643,0.02492,-0.132684,0.0081132,0.0257268
12,-0.133462,-0.199011,-0.0446153,-0.0874514,-0.0379353,-0.0612138,-0.142638,-0.102382,-0.0370907,0.0458193,-0.114931,-0.00742049,-0.230042,-0.043652,0.0212427,-0.077172,-0.0927608,0.0808966
13,-0.107085,-0.1549,-0.0444096,-0.0472202,-0.0818766,-0.0946538,-0.0864831,-0.136125,-0.0288264,0.00723418,-0.0614652,-0.124055,-0.0756788,-0.112524,-0.0312263,-0.115227,0.0195412,0.045689
14,-0.146534,-0.20269,-0.108714,-0.0187694,-0.0285862,-0.0964991,-0.120761,-0.119154,-0.0183596,0.0279092,-0.0357362,-0.0881199,-0.16742,-0.0418613,-0.0392557,-0.0728463,-0.107638,0.0486193
15,-0.112194,-0.169593,-0.106971,-0.120954,-0.0551569,-0.0731383,-0.152077,-0.142883,-0.0328021,0.0279007,-0.0913575,-0.0183036,-0.137142,-0.0847508,0.0154561,-0.141732,-0.0150153,0.0298958
16,-0.164254,-0.185588,-0.0284118,-0.0663675,-0.0404895,-0.0958072,-0.123325,-0.1077,0.00329309,0.0240163,-0.0237174,-0.0922086,-0.13633,0.00351628,-0.0459234,-0.0696712,-0.105768,0.0792056
17,-0.123444,-0.196148,-0.0738199,-0.0641005,-0.049692,-0.0733491,-0.101025,-0.122892,0.0146077,0.00614778,-0.0964805,-0.0163982,-0.190457,-0.0823242,0.00201458,-0.0373216,0.00293202,0.0669114
18,-0.131274,-0.172683,-0.0762364,-0.073598,-0.0370081,-0.0899779,-0.0865602,-0.115089,0.0310381,-0.0353358,-0.0787436,-0.0576153,-0.188463,-0.0247433,-0.0183438,-0.131868,-0.0616295,0.0428828
19,-0.0878667,-0.171364,-0.0972886,-0.0752377,-0.0738058,-0.0848019,-0.106752,-0.129509,-0.0601326,-0.0143053,-0.0324019,-0.0536132,-0.164917,-0.0536927,-0.0197924,-0.126391,-0.119089,0.0559287
20,-0.125328,-0.197744,-0.0541317,-0.0593182,-0.00519398,-0.0851147,-0.0916082,-0.110977,-0.0554898,0.0313051,-0.107055,-0.0597796,-0.112438,-0.0598335,-0.0130175,-0.0433946,0.0313451,0.0803419
21,-0.139534,-0.15245,-0.0722754,-0.0596964,-0.107431,-0.0698661,-0.0904307,-0.130071,0.0166963,0.0140457,-0.0122166,-0.0929233,-0.179446,-0.0277502,-0.0414768,-0.0317799,-0.122021,0.0449375
22,-0.0997568,-0.22069,-0.104535,-0.0743944,-0.0110811,-0.0936549,-0.133783,-0.119588,-0.0658922,0.00179264,-0.0734819,-0.00696324,-0.231776,-0.0553959,0.0200256,-0.0987723,-0.0675574,0.0610895
23,-0.15277,-0.146723,-0.0853929,-0.0571712,-0.0122894,-0.0798866,-0.115499,-0.125733,-0.0516455,-0.0174498,-0.024899,-0.0883596,-0.202751,-0.0670711,-0.0525751,-0.113095,-0.017256,0.0373648
24,-0.0878747,-0.19528,-0.0663034,-0.0819595,-0.096339,-0.0936213,-0.128898,-0.117597,-0.023601,-0.0320176,-0.0328782,-0.0178363,-0.102816,-0.0795247,-0.0205652,-0.160535,-0.0629196,0.145498
25,-0.0773311,-0.174166,-0.0862909,-0.0710369,0.00228541,-0.0829059,-0.105212,-0.134856,-0.0353406,-0.0367665,-0.0750849,-0.0375053,-0.204027,-0.0471939,-0.0538539,-0.073534,-0.0672375,0.0131092
26,-0.105392,-0.175285,-0.0733334,-0.072897,-0.0670519,-0.0785011,-0.10619,-0.113828,-0.00445729,0.0372346,-0.083222,-0.0720376,-0.115128,-0.0387198,0.00647937,-0.165551,-0.0166605,0.0375338
27,-0.150674,-0.18767,-0.115011,-0.0579068,-0.0386252,-0.100308,-0.105657,-0.125559,-0.0322296,0.0325603,-0.0410699,-0.0822175,-0.128314,-0.0784279,-0.0741846,-0.0617525,0.00605496,0.0463443
28,-0.050088,-0.181889,-0.0311279,-0.0756836,-0.0730172,-0.0496771,-0.126041,-0.143071,-0.0330498,-0.023456,-0.0737584,-0.0140131,-0.163835,-0.0710046,0.00582977,-0.107626,-0.131127,0.102103
29,-0.171646,-0.191648,-0.106561,-0.0766456,-0.020737,-0.103864,-0.109199,-0.109985,-0.0423592,-0.0103903,-0.110944,-0.0994907,-0.178886,-0.0275474,-0.0357533,-0.113675,-0.0839574,0.0526207
30,-0.0796229,-0.169577,-0.0444609,-0.0459135,-0.0583677,-0.0664573,-0.0666272,-0.12341,-0.069472,0.00612631,-0.0354564,-0.0101279,-0.140884,-0.0463063,-0.00285376,-0.0783354,-0.00303015,0.0662555
31,-0.115003,-0.201636,-0.0509224,-0.0599371,-0.0247293,-0.0783177,-0.0721245,-0.0992013,-0.0151096,0.0656057,-0.0238189,-0.0581297,-0.161355,-0.0829363,0.000775528,-0.119843,-0.0580987,0.0880976
32,-0.142942,-0.181471,-0.0592038,-0.0627903,-0.0557016,-0.0900145,-0.116065,-0.151559,0.000247736,0.0473967,-0.0931571,-0.0493622,-0.194302,-0.0304485,-0.0443236,-0.122635,0.00307564,0.113235
33,-0.0902699,-0.168393,-0.0963224,-0.0723492,-0.0209749,-0.074117,-0.117758,-0.0972671,-0.00762262,0.00294398,-0.0235202,-0.068993,-0.168693,-0.0745509,0.017603,-0.0861458,-0.0911667,0.0969946
34,-0.150236,-0.166836,-0.0706318,-0.0848994,-0.0397984,-0.0420228,-0.153008,-0.0956284,-0.0491223,0.00364827,-0.0916077,-0.091708,-0.135119,-0.162415,0.00617017,-0.0323856,-0.0843861,0.00670476
35,-0.0813298,-0.193599,-0.0787689,-0.0550952,-0.0415436,-0.0725479,-0.0692063,-0.157794,-0.018049,-0.0407012,-0.0319281,-0.0385579,-0.174664,-0.112311,-0.00565573,-0.196542,-0.000826386,-0.0135415
36,-0.0873052,-0.188782,-0.0614871,-0.0772703,-0.0548921,-0.0849143,-0.145823,-0.0896146,-0.0123195,-0.0163514,-0.0816487,-0.0784596,-0.206659,-0.101109,-0.0161811,-0.0375923,-0.0581867,0.131014
37,-0.198682,-0.180909,-0.0927283,-0.0601995,-0.0447459,-0.100185,-0.145694,-0.147608,-0.0442111,-0.00338016,-0.0570491,-0.0459909,-0.197565,-0.0729747,-0.0373298,-0.0668986,-0.0278585,0.0260821
38,-0.181111,-0.173939,-0.0927283,-0.0974856,-0.0310762,-0.141804,-0.0971236,-0.101225,0.0314716,0.0540641,-0.0791309,-0.0463247,-0.103274,-0.0618425,-0.0375849,-0.12758,-0.0132134,0.0851275
39,-0.0715102,-0.193931,-0.103329,-0.0291812,-0.105933,-0.0205094,-0.0788682,-0.113888,-0.0337558,-0.0195323,-0.0438973,-0.0269431,-0.122049,-0.0441785,-0.00815227,-0.0480607,-0.0704082,0.0176227
40,-0.0585734,-0.153342,-0.0891719,-0.0130337,-0.0149682,-0.107585,-0.145612,-0.130305,-0.0193567,0.0314885,-0.0643996,-0.0735574,-0.186154,-0.060547,-0.0101966,-0.173994,-0.0849399,0.0676124
41,-0.139282,-0.193495,-0.0665664,-0.118228,-0.0871209,-0.128164,-0.126345,-0.0769916,-0.0294829,0.00126622,-0.0503931,-0.040276,-0.237701,-0.000232864,-0.111523,-0.0613155,-0.0518513,0.0147467
42,-0.101299,-0.194494,-0.081165,-0.0927312,-0.0584167,-0.0429209,-0.086935,-0.180765,0.0105639,0.0169569,-0.0369289,-0.0862591,-0.0949182,-0.084691,0.0460169,-0.0887607,-0.00115773,0.0359538
43,-0.145161,-0.162924,-0.0692049,-0.0837424,-0.0337609,-0.104133,-0.0945748,-0.0480762,-0.0504027,0.00600682,-0.0736295,-0.0797929,-0.22631,-0.0120209,-0.0269394,-0.114952,-0.085531,0.0630485
44,-0.130563,-0.186359,-0.0591017,-0.0970371,-0.0612349,-0.0784459,-0.110947,-0.179917,-0.0263542,-0.00229174,-0.116181,-0.0290585,-0.213406,-0.0583138,0.0184567,-0.0887971,-0.0102425,0.049997
45,-0.0936948,-0.177998,-0.100536,-0.0926328,-0.0346284,-0.100322,-0.108474,-0.154272,-0.0261779,0.000775584,0.000215322,-0.0232223,-0.0881718,-0.0813186,-0.0331197,-0.0991892,-0.0885202,0.0754567
46,-0.0826779,-0.185015,-0.0806876,-0.0812146,-0.0330286,-0.0607514,-0.100202,-0.138405,-0.0217307,0.0262142,-0.0618695,-0.061736,-0.222342,-0.0733595,-0.0128739,-0.109128,-0.0138494,0.0599528
47,-0.15497,-0.177886,-0.0418535,-0.0590695,-0.0462439,-0.0902284,-0.130856,-0.112303,-0.00601705,0.0288771,-0.0687182,-0.088978,-0.154534,-0.0183184,-0.041963,-0.0592662,-0.0522927,0.0908726
48,-0.0856729,-0.166838,-0.0469168,-0.00978994,-0.0521493,-0.0984683,-0.0934921,-0.0997611,0.0248638,-0.0121005,-0.0739924,-0.0175219,-0.120324,-0.0923929,-0.0981673,-0.0588899,-0.0342442,0.0283803
49,-0.131383,-0.191132,-0.0850183,-0.110668,-0.0277007,-0.0968199,-0.111268,-0.10162,-0.0553166,0.0228184,-0.0279652,-0.0938571,-0.227979,0.0136993,0.0505819,-0.164007,-0.0725927,0.0692764
50,-0.129342,-0.177497,-0.0324151,-0.0809551,-0.00352877,-0.100929,-0.115622,-0.15348,-0.0517996,-0.012188,-0.0864264,-0.0750747,-0.189861,0.00305153,-0.0726583,-0.0931869,-0.016456,0.0459327
51,-0.118572,-0.155972,-0.0506333,-0.0684321,-0.00975726,-0.0660235,-0.113215,-0.112136,-0.0741714,0.0397477,-0.0189145,-0.0727822,-0.130738,-0.0941083,0.0985191,-0.120849,-0.0666891,0.0690022
52,-0.147589,-0.133463,-0.0483663,-0.064421,-0.0562209,-0.0887701,-0.112067,-0.102925,0.0262647,-0.00960407,-0.0475125,-0.0217808,-0.130738,-0.0930258,-0.138801,-0.0804547,-0.0354022,0.0389649
53,-0.0757931,-0.225747,-0.0808786,-0.0850117,-0.041989,-0.104434,-0.0970287,-0.139747,-0.00880552,0.0108418,-0.0508904,-0.0894483,-0.199902,-0.0274473,-0.0523399,-0.0961037,0.0376732,-0.00797284
54,-0.166543,-0.165749,-0.0428159,-0.0859037,-0.0416796,-0.0744361,-0.131408,-0.104728,-0.0258798,-0.00212618,-0.0682197,-0.0316327,-0.148125,-0.0267108,-0.0565498,-0.108393,-0.0878729,0.108035
55,-0.0744831,-0.172731,-0.0951437,-0.0605839,-0.0524086,-0.0772684,-0.107328,-0.180057,0.00113138,0.00477173,-0.0434069,-0.0610602,-0.175291,-0.0767702,-0.00769581,-0.083618,-0.000996654,-0.00892672
56,-0.0939538,-0.186053,-0.0743244,-0.080437,-0.0213118,-0.0518146,-0.0859527,-0.0852752,-0.0434089,0.00800412,-0.0780024,-0.0713096,-0.139165,-0.0620426,-0.00508692,-0.12978,-0.0359459,0.0868492
57,-0.10555,-0.184587,-0.0756648,-0.0688665,0.00502621,-0.0793166,-0.120986,-0.153168,0.00403225,-0.00447846,-0.053456,-0.0423908,-0.0792863,-0.0355669,-0.0594948,-0.149156,0.0046443,0.0301244
58,-0.133842,-0.200895,-0.0789647,-0.0794097,-0.0375312,-0.0562395,-0.107861,-0.1488,-0.0517341,0.00388311,-0.0886405,-0.0927028,-0.230304,-0.0957376,0.00566857,-0.128173,-0.063639,0.0500482
