,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
0,0.148839,-0.171792,0.694831,0.415138,0.562698,0.785948,0.778056,0.632673,-0.193091,0.0924038
1,0.539729,0.434767,0.424376,0.556136,0.226284,0.454177,0.0858917,0.61269,0.298085,0.681185
2,0.464663,0.214261,0.551511,0.826501,0.516195,0.77211,0.733458,0.427113,-0.191446,0.651847
3,0.1926,0.0802585,0.522027,0.72207,0.282286,0.444579,0.625211,0.727064,0.331777,0.670509
4,0.476477,0.197155,0.58944,0.791651,0.453779,0.992473,0.206835,0.697159,-0.168834,0.205541
5,0.152227,0.511441,0.546324,0.675779,0.349986,0.976183,0.72254,0.112647,0.288703,0.563685
6,0.857353,0.198219,0.768471,0.477349,0.576934,0.217408,0.0968024,0.60234,-0.0797852,0.409295
7,0.614211,0.00874777,0.699288,0.603295,0.350339,0.916007,0.614469,0.195789,0.259145,0.123835
8,0.441264,0.0254361,0.498654,0.605984,0.0189536,0.393413,0.24676,0.705557,0.00841726,0.631361
9,0.222411,0.438189,0.654584,0.417223,0.597398,0.838429,0.660201,0.457957,-0.0505076,-0.0613565
10,0.406436,-0.275708,0.521916,0.667522,0.597331,0.352553,0.219759,0.370441,0.172307,0.685147
11,0.325748,0.117246,0.788538,0.630419,0.233702,0.315615,0.686714,0.555935,0.0217515,0.147843
12,0.3212,0.216277,0.652609,0.591136,0.499594,0.79339,0.313649,0.837426,-0.00160915,0.717183
13,0.0883063,0.174378,0.4445,0.374178,0.493835,0.796926,0.565495,0.00181502,0.22236,0.0213955
14,0.617086,0.0988889,0.869138,0.774104,0.269443,0.536706,0.456916,0.823426,-0.0799182,0.841633
15,-0.109665,0.148171,0.931269,0.409644,0.450706,0.737584,0.119755,0.245633,0.131632,0.90496
16,0.70809,0.442172,0.252449,0.480234,0.417198,0.666175,0.699605,0.733436,0.0732911,0.639206
17,-0.0777255,-0.185958,0.799139,0.587376,0.680327,0.621237,0.295917,0.846313,0.106976,0.281288
18,0.787043,0.243124,0.417334,0.787566,0.0529777,0.613089,0.597458,-0.014237,0.221803,0.458231
19,0.381584,-0.0529571,0.427375,0.333874,0.161947,0.573836,0.614011,0.640271,0.133383,0.477348
20,0.229391,0.542709,0.695847,0.903615,0.37036,0.742884,0.149326,0.351955,-0.10766,0.563395
21,0.401331,0.0632132,0.331319,0.792127,0.441899,0.542755,0.453383,0.426733,0.090805,0.627171
22,-0.154724,0.0596949,0.711568,0.339672,0.267706,0.94894,0.35625,0.572958,0.158678,0.79058
23,-0.151276,0.152216,0.445363,0.745844,0.601399,0.721266,-0.0462887,0.441174,-0.0370519,0.659798
24,0.598116,0.158209,0.810548,0.47471,0.465276,0.747473,0.870236,0.503798,0.0562233,0.172148
25,0.261945,-0.0927669,0.727478,0.625595,0.521277,0.78834,0.329605,0.498838,0.150797,0.685315
26,0.334052,0.110341,0.560124,0.466205,0.164701,0.45156,0.769561,0.619284,0.269153,-0.00868685
27,0.0983835,0.152456,0.633333,0.556105,0.643332,0.521347,0.0893071,0.692111,0.0735594,0.734507
