pol.	phi	weight
0.3	-110.765	1
0.3	-3.68928	1
0.3	22.0974	1
0.3	-147.243	1
0.3	117.673	1
0.3	-143.395	1
0.3	-94.1494	1
0.3	144.744	1
0.3	138.411	1
0.3	-58.0055	1
0.3	81.4256	1
0.3	-82.4832	1
0.3	45.4651	1
0.3	15.8543	1
0.3	145.755	1
0.3	2.82398	1
0.3	-143.415	1
0.3	-53.1337	1
0.3	-61.1007	1
0.3	-97.5697	1
0.3	-33.5853	1
0.3	-31.9436	1
0.3	72.1654	1
0.3	168.43	1
0.3	171.582	1
0.3	-156.862	1
0.3	121.24	1
0.3	171.473	1
0.3	-138.815	1
0.3	-24.0008	1
0.3	143.078	1
0.3	88.419	1
0.3	151.881	1
0.3	42.6529	1
0.3	160.116	1
0.3	-88.1924	1
0.3	48.4465	1
0.3	-121.965	1
0.3	-12.1002	1
0.3	-171.02	1
0.3	-39.1966	1
0.3	-53.3855	1
0.3	-59.6125	1
0.3	-136.84	1
0.3	-147.731	1
0.3	155.345	1
0.3	116.368	1
0.3	-0.698951	1
0.3	78.6626	1
0.3	137.445	1
0.3	-42.0618	1
0.3	151.761	1
0.3	91.8765	1
0.3	46.3473	1
0.3	-71.561	1
0.3	139.436	1
0.3	138.429	1
0.3	139.225	1
0.3	77.9132	1
0.3	98.7778	1
0.3	-38.7034	1
0.3	179.99	1
0.3	-144.892	1
0.3	24.4245	1
0.3	8.71751	1
0.3	1.83613	1
0.3	171.102	1
0.3	-105.102	1
0.3	110.17	1
0.3	-90.7128	1
0.3	98.1302	1
0.3	-145.532	1
0.3	116.506	1
0.3	94.4595	1
0.3	-119.754	1
0.3	-78.0471	1
0.3	-155.516	1
0.3	-175.457	1
0.3	-171.338	1
0.3	-98.5132	1
0.3	83.7817	1
0.3	162.432	1
0.3	34.5212	1
0.3	-138.027	1
0.3	109.647	1
0.3	-174.613	1
0.3	111.176	1
0.3	163.955	1
0.3	-77.1443	1
0.3	-33.3178	1
0.3	7.31339	1
0.3	93.9848	1
0.3	-61.7054	1
0.3	-92.5204	1
0.3	169.112	1
0.3	-23.7428	1
0.3	155.879	1
0.3	-108.211	1
0.3	131.165	1
0.3	-3.8587	1
0.3	171.97	1
0.3	147.352	1
0.3	-57.8652	1
0.3	-139.378	1
0.3	-24.3603	1
0.3	59.8083	1
0.3	106.431	1
0.3	13.8646	1
0.3	3.6007	1
0.3	149.656	1
0.3	88.6686	1
0.3	162.956	1
0.3	134.561	1
0.3	31.0657	1
0.3	-103.663	1
0.3	-69.0109	1
0.3	-116.942	1
0.3	-114.755	1
0.3	94.0265	1
0.3	-31.4294	1
0.3	156.323	1
0.3	-19.8718	1
0.3	-66.3241	1
0.3	158.821	1
0.3	-66.7151	1
0.3	17.5927	1
0.3	-175.028	1
0.3	-98.5687	1
0.3	104.835	1
0.3	167.061	1
0.3	-90.9097	1
0.3	-61.5724	1
0.3	-16.6061	1
0.3	-59.7271	1
0.3	-11.6123	1
0.3	-54.7321	1
0.3	-73.0688	1
0.3	-39.3615	1
0.3	-152.843	1
0.3	45.643	1
0.3	-1.55074	1
0.3	-100.384	1
0.3	-60.6679	1
0.3	3.76913	1
0.3	131.493	1
0.3	168.874	1
0.3	41.3167	1
0.3	-29.4138	1
0.3	86.8818	1
