pol	phi	weight
-0.354975	-14.0123	1
-0.354975	175.729	1
-0.345895	81.7841	-0.047619
0.349649	60.1755	-0.047619
0.329444	41.6731	1
0.348114	-69	1
0.350645	-111.734	1
0.335495	160.143	1
0.335495	4.68274	-0.047619
0.349649	-63.832	1
-0.351836	-12.4308	-0.047619
-0.332479	-12.4308	1
0.330974	61.9979	-0.047619
0.349649	28.8017	1
0.329444	125.887	1
0.341186	46.1547	1
-0.330921	158.31	-0.047619
0.332496	30.5006	1
0.343776	-85.5059	-0.047619
0.3384	63.4335	-0.047619
-0.347226	-164.071	-0.047619
-0.341637	-164.071	-0.047619
0.342511	-144.076	1
-0.337133	122.062	-0.047619
-0.354626	-134.721	1
-0.354988	-134.721	-0.0380952
-0.330921	18.7721	-0.047619
0.335495	-23.1539	1
-0.343098	66.3791	-0.0714286
0.346121	-42.6615	1
0.330974	-42.6615	-0.047619
0.349649	-133.924	1
0.346121	-133.924	-0.047619
0.323226	-133.924	-0.047619
-0.345895	84.8969	1
0.334001	-14.2785	1
-0.354975	23.0202	1
0.336958	-146.292	1
0.321661	-44.7062	-0.0714286
0.34498	137.392	-0.047619
-0.354194	-56.6928	1
-0.345895	129.79	-0.047619
-0.337133	141.217	1
-0.343098	127.765	1
0.343776	-175.09	-0.047619
-0.351836	169.757	1
0.348892	-130.327	1
0.339808	60.0789	-0.047619
-0.329344	14.205	-0.047619
0.34498	-140.259	1
0.330974	-96.1136	1
-0.330921	-4.012	1
-0.350815	-159.088	1
0.34498	-161.541	1
0.323231	-161.541	-0.047619
0.339808	2.685	1
-0.341637	73.2825	1
-0.350815	133.285	-0.047619
-0.354666	113.348	-0.0380952
-0.335595	126.307	1
0.348114	0.48309	1
0.329444	-113.232	1
-0.351836	30.0825	-0.0380952
-0.334048	53.9405	1
0.326352	-23.2446	-0.047619
-0.343098	107.934	-0.0714286
-0.330921	52.3229	-0.047619
0.348114	-69.5414	1
-0.350815	64.6471	-0.0714286
-0.335595	-108.701	-0.0285714
-0.343098	83.8855	1
-0.329344	-5.90738	1
0.321661	129.959	1
-0.35276	4.52573	1
-0.35276	18.8456	1
0.34498	106.948	-0.0714286
-0.334048	-148.477	-0.0380952
0.34498	-151.448	1
0.323231	-30.4481	-0.047619
0.343776	-145.248	1
0.324793	-145.248	-0.0714286
-0.34589	-82.7891	-0.0714286
0.348114	3.58642	1
-0.348505	29.313	1
-0.347226	29.313	-0.047619
0.3384	35.42	1
0.329444	33.1979	1
-0.343079	142.15	1
-0.329185	-16.2147	1
0.337435	-139.926	1
0.3384	-100.848	-0.0380952
0.350235	-161.537	1
0.335495	24.2666	-0.0190476
-0.329344	140.841	-0.0666667
0.327901	-144.836	1
0.330974	47.6354	-0.047619
-0.345895	160.205	-0.0380952
0.343776	75.6438	1
0.341186	-83.8802	-0.0714286
0.346375	-155.87	-0.047619
0.323231	-155.87	1
0.321661	-155.87	-0.047619
0.335495	109.126	1
0.346121	35.6438	1
-0.354194	-117.16	-0.047619
-0.345895	-13.7215	1
0.346121	92.9122	-0.047619
0.332496	-138.681	1
-0.354975	-83.4396	-0.047619
-0.345895	-83.4396	-0.047619
0.348938	-87.3398	1
-0.341102	-30.0064	-0.047619
0.348525	34.5623	-0.0380952
0.32618	34.5623	-0.0380952
0.3293	-115.246	-0.047619
0.348513	-45.7934	-0.047619
-0.349592	40.7587	-0.047619
-0.355771	-114.89	-0.047619
-0.356158	-114.89	-0.047619
-0.356506	-97.8417	-0.047619
-0.341102	-97.8417	1
0.350249	-143.071	-0.047619
0.347952	83.8359	-0.047619
0.352092	85.6724	1
-0.338039	-174.046	1
-0.346934	-166.612	-0.047619
-0.355771	51.8908	1
0.347492	-29.8873	-0.047619
-0.355583	-26.9601	-0.047619
-0.355771	-26.9601	-0.047619
-0.344075	125.945	1
-0.355583	104.479	1
-0.356506	-7.82267	-0.047619
-0.349592	-7.82267	1
-0.338039	-7.82267	-0.047619
0.339818	48.9158	-0.047619
-0.354861	72.7222	1
-0.338039	72.7222	-0.0714286
-0.33492	-111.914	-0.047619
-0.354861	-7.31675	-0.0285714
-0.356506	95.9534	-0.047619
0.351509	-145.285	1
0.348525	-32.6185	1
0.339818	-32.6185	-0.0714286
-0.354784	31.9197	1
-0.354017	-87.2528	1
0.34123	-73.6974	1
-0.356344	15.7272	1
-0.337881	145.44	1
-0.355771	-26.1622	1
0.352091	-153.067	1
-0.349592	85.9698	-0.047619
0.34123	-10.7491	1
0.350285	60.9852	-0.047619
-0.354017	-156.56	1
-0.355771	-109.706	1
0.336907	113.898	-0.047619
-0.354861	120.148	1
-0.353064	-110.14	1
-0.339578	106.512	1
-0.350647	24.0674	-0.047619
0.341242	5.26163	1
0.352144	-80.6204	1
0.330552	-110.823	1
-0.345034	11	1
-0.355219	82.4066	1
-0.345034	82.4066	-0.0380952
0.353933	-43.9787	1
-0.338932	7.49761	1
-0.358162	-67.2979	-0.0380952
-0.357413	-67.2979	1
0.353817	84.3861	-0.0380952
0.332122	84.3861	-0.0380952
0.350284	167.669	-0.047619
0.34545	84.1785	-0.0380952
-0.345034	-124.333	-0.0714286
-0.340978	-116.678	1
0.342684	-37.2199	1
-0.355219	-16.1091	1
-0.354202	69.842	-0.047619
-0.342023	69.842	-0.047619
0.348001	115.909	-0.047619
0.338276	109.902	-0.047619
0.344097	127.158	1
-0.355219	38.1827	-0.047619
-0.357873	38.1827	-0.047619
-0.342023	38.1827	1
-0.338932	-32.5606	-0.047619
-0.357873	117.277	1
0.344097	-118.56	-0.0380952
-0.356115	103.281	1
-0.355219	-44.4365	-0.047619
0.352894	-91.4923	-0.047619
0.341242	-91.4923	-0.047619
0.338276	49.801	1
0.349186	103.612	-0.0714286
0.335227	177.17	-0.0285714
-0.356841	69.6609	1
0.330552	-75.8959	1
-0.357783	-81.2956	-0.047619
-0.356841	-81.2956	-0.047619
-0.349278	-81.2956	1
-0.338932	-81.2956	-0.047619
-0.357912	-102.643	-0.0714286
0.354271	80.5107	-0.047619
-0.355545	-84.9235	1
-0.358163	74.187	1
0.351272	-146.004	1
0.339769	-2.70897	1
0.352894	28.113	-0.047619
-0.345031	-161.733	1
-0.359881	6.18726	-0.0714286
0.337209	-91.8131	1
0.350845	83.1147	-0.047619
0.334113	108.482	-0.0380952
-0.359763	97.3457	-0.0380952
-0.352187	-95.8995	-0.0666667
0.354939	-98.1523	1
-0.349455	-113.256	-0.0380952
-0.349455	-117.528	1
-0.343501	-119.18	-0.047619
-0.348013	-119.18	-0.047619
0.344587	55.4692	-0.047619
0.345966	-23.537	1
0.354612	173.623	-0.047619
-0.359026	-165.53	-0.047619
-0.358658	-109.933	1
-0.358522	-110.506	1
0.349729	-57.8469	1
0.334113	-57.8469	-0.0714286
-0.359926	-133.175	-0.047619
0.34024	-2.04675	1
-0.346534	160.677	1
0.350845	-10.4138	-0.047619
0.354673	-10.4138	1
-0.35964	142.498	1
-0.358658	142.498	-0.0714286
-0.343501	-42.3898	-0.047619
0.354174	83.5936	1
0.352748	-84.1609	1
-0.355837	166.71	-0.047619
-0.358658	-132.454	1
0.354174	-150.139	-0.047619
-0.359881	-140.8	1
-0.352187	-140.8	-0.047619
0.338734	-14.6061	-0.0666667
0.337209	169.845	1
0.334113	-18.4599	-0.047619
0.34024	15.3424	1
0.354174	114.077	1
0.352748	114.077	-0.047619
0.348524	29.5735	-0.047619
-0.353474	84.0736	-0.047619
-0.359173	167.261	-0.0380952
0.343172	93.0642	-0.0714286
0.350845	-85.9473	-0.0714286
0.350845	23.1819	-0.047619
-0.359197	154.519	1
-0.349455	140.523	1
-0.350847	140.523	-0.047619
-0.35624	-82.9668	-0.047619
-0.359926	-82.9668	-0.047619
0.348539	66.033	-0.0714286
-0.359763	-72.4578	-0.0380952
-0.345031	-94.3372	1
-0.349455	103.713	-0.047619
-0.357611	-111.818	1
-0.350847	-111.818	-0.0380952
-0.353474	75.381	1
-0.35624	-71.6442	1
-0.348013	-71.6442	-0.0666667
0.343172	-36.9803	1
0.350845	44.9882	1
-0.358658	3.36353	1
-0.359763	3.36353	-0.0380952
-0.359173	-86.2561	-0.047619
-0.356842	-125.439	1
0.354947	128.129	1
0.338734	-50.7634	-0.047619
-0.358658	80.2253	-0.047619
-0.357741	80.2253	-0.047619
0.352748	-140.218	1
-0.358522	147.732	1
0.345966	154.807	-0.047619
-0.354693	-151.267	1
-0.353474	-83.0328	1
0.335665	103.44	-0.047619
-0.357611	112.856	1
0.345966	83.5697	1
0.338734	83.5697	-0.0380952
0.353526	33.6693	-0.047619
-0.345031	-104.29	-0.047619
-0.352468	-41.0348	1
0.354174	-5.86964	-0.047619
0.337209	-5.86964	1
0.354932	28.2313	-0.047619
0.343172	28.2313	-0.047619
0.343172	-63.7884	1
-0.353474	90.468	1
-0.352468	79.0718	1
-0.342438	124.014	1
-0.357502	124.014	-0.047619
0.351405	92.3007	-0.0380952
-0.34658	-143.307	-0.047619
-0.354963	18.6554	1
-0.360877	88.0466	-0.0380952
-0.363836	123.636	-0.0714286
-0.358729	123.636	-0.0714286
-0.356217	110.622	1
0.357369	74.5923	-0.047619
0.357135	74.5923	-0.047619
0.351405	139.18	1
0.346078	-152.674	-0.047619
0.343139	30.1638	1
-0.354869	-87.4046	1
0.356618	151.894	1
-0.342531	162.12	-0.047619
-0.353465	162.12	-0.047619
-0.36382	107.424	1
-0.362387	-161.073	-0.047619
0.35459	147.316	-0.047619
-0.358267	69.3255	-0.047619
-0.363173	156.948	-0.047619
-0.358729	156.948	-0.047619
-0.354869	2.83706	-0.047619
0.357135	86.4997	-0.047619
0.356618	112.705	-0.047619
0.353626	-13.4056	-0.0285714
0.35459	-128.74	-0.0380952
-0.363628	51.9198	1
0.348841	79.308	-0.047619
0.357369	70.6974	1
0.340976	70.6974	-0.0380952
-0.361786	-173.931	1
0.340108	97.2176	1
-0.355835	74.9495	-0.0714286
-0.36382	87.0293	1
-0.358729	148.482	-0.047619
-0.355835	-54.44	1
0.350148	31.255	1
0.355847	16.2963	1
0.348841	-102.905	1
0.352561	58.9018	-0.047619
-0.354923	-53.0445	1
0.334585	9.43717	-0.0380952
-0.341199	66.1732	1
0.337465	69.4415	1
-0.354566	-90.4272	1
0.317765	-139.977	1
0.344987	-68.0651	-0.047619
-0.352391	143.791	1
-0.346811	91.9691	-0.047619
-0.342656	-28.0835	1
0.323996	119.663	1
-0.354566	-158.872	1
-0.346811	-158.872	-0.047619
-0.349312	90.4702	1
0.317765	164.898	1
-0.349312	-109.535	-0.047619
-0.344087	-109.535	-0.047619
-0.332019	-129.166	-0.0285714
0.319331	-154.916	-0.0714286
0.341489	-109.12	1
0.325541	13.3132	-0.0714286
