pol.	phi	weight
0.3	-59.2401	1
0.3	-104.502	1
0.3	120.496	1
0.3	-4.09579	1
0.3	-3.47919	1
0.3	-43.5886	1
0.3	-111.066	1
0.3	12.9378	1
0.3	144.582	1
0.3	124.704	1
0.3	150.77	1
0.3	-111.843	1
0.3	-89.7851	1
0.3	-62.6146	1
0.3	71.8401	1
0.3	-134.435	1
0.3	-48.4805	1
0.3	-66.2906	1
0.3	-130.574	1
0.3	111.462	1
0.3	103.541	1
0.3	76.9869	1
0.3	-169.853	1
0.3	103.468	1
0.3	165.306	1
0.3	-73.2407	1
0.3	-34.1655	1
0.3	59.9489	1
0.3	75.6097	1
0.3	158.492	1
0.3	-167.917	1
0.3	34.8115	1
0.3	145.985	1
0.3	30.9228	1
0.3	132.565	1
0.3	-139.097	1
0.3	154.106	1
0.3	121.391	1
0.3	-22.4924	1
0.3	-45.8718	1
0.3	-57.2382	1
0.3	-119.791	1
0.3	-51.5617	1
0.3	-6.42259	1
0.3	97.526	1
0.3	-45.6462	1
0.3	-27.2966	1
0.3	40.4575	1
0.3	157.036	1
0.3	-150.232	1
0.3	133.92	1
0.3	116.576	1
0.3	128.406	1
0.3	-110.596	1
0.3	-28.7628	1
0.3	63.9647	1
0.3	143.611	1
0.3	-154.574	1
0.3	126.301	1
0.3	-176.789	1
0.3	-151.367	1
0.3	-10.5258	1
0.3	148.333	1
0.3	133.872	1
0.3	88.2205	1
0.3	-31.1463	1
0.3	83.0788	1
0.3	-88.8961	1
0.3	178.938	1
0.3	-81.979	1
0.3	149.494	1
0.3	-111.298	1
0.3	-95.6087	1
0.3	138.072	1
0.3	-16.9842	1
0.3	-106.104	1
0.3	116.573	1
0.3	-172.808	1
0.3	95.4737	1
0.3	7.97847	1
0.3	169.083	1
0.3	-153.919	1
0.3	-15.5695	1
0.3	11.7314	1
0.3	-66.5048	1
0.3	169.126	1
0.3	-141.756	1
0.3	20.4303	1
0.3	10.5142	1
0.3	-40.0597	1
0.3	-46.5957	1
0.3	157.766	1
0.3	26.7477	1
0.3	-127.796	1
0.3	-52.486	1
0.3	99.2965	1
0.3	-6.144	1
0.3	-114.701	1
0.3	174.176	1
0.3	-77.9818	1
0.3	-29.8631	1
0.3	150.285	1
0.3	118.743	1
0.3	9.00187	1
0.3	-113.234	1
0.3	97.3858	1
0.3	-56.4908	1
0.3	-59.7025	1
0.3	-99.4154	1
0.3	119.707	1
0.3	165.295	1
0.3	13.3961	1
0.3	12.1229	1
0.3	105.55	1
0.3	97.3888	1
0.3	-173.775	1
0.3	116.83	1
0.3	147.283	1
0.3	0.399179	1
0.3	58.8843	1
0.3	22.994	1
0.3	175.744	1
0.3	170.038	1
0.3	150.246	1
0.3	-64.6431	1
0.3	-9.41378	1
0.3	148.094	1
0.3	65.9649	1
0.3	158.112	1
