name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,41.0,0.033,3.0,35.0,41.0,45.0,8600.0,2.4,1.0
sigma,0.81,0.00067,0.094,0.65,0.81,0.96,20000.0,5.5,1.0
a[1],-0.00087,8.9e-05,0.016,-0.028,-0.00086,0.026,33533.0,9.4,1.0
a[2],-0.0068,9.3e-05,0.017,-0.034,-0.0068,0.02,32096.0,9.0,1.0
a[3],0.0014,8.6e-05,0.016,-0.026,0.0014,0.029,36143.0,10.0,1.0
a[4],-0.0077,9e-05,0.016,-0.035,-0.0077,0.019,33382.0,9.4,1.0
b[1],0.0094,9.7e-05,0.017,-0.018,0.0094,0.037,29589.0,8.3,1.0
b[2],0.036,9e-05,0.016,0.0094,0.036,0.063,33151.0,9.3,1.0
b[3],0.011,8.7e-05,0.016,-0.016,0.011,0.038,35365.0,9.9,1.0
b[4],-0.0079,9.5e-05,0.016,-0.035,-0.0079,0.019,30292.0,8.5,1.0
sigma_bkg,0.51,0.0,0.12,0.32,0.51,0.71,29530.86,8.3,1.0
a_bkg[1],0.034,9.9e-05,0.019,0.0031,0.034,0.064,34845.0,9.8,1.0
a_bkg[2],0.0046,0.00011,0.019,-0.027,0.0045,0.035,31507.0,8.9,1.0
a_bkg[3],0.011,0.00011,0.019,-0.02,0.01,0.042,31335.0,8.8,1.0
a_bkg[4],0.025,0.0001,0.019,-0.0063,0.025,0.056,32940.0,9.3,1.0
b_bkg[1],0.011,0.00011,0.019,-0.02,0.011,0.042,31790.0,8.9,1.0
b_bkg[2],0.019,0.0001,0.019,-0.012,0.019,0.05,33266.0,9.4,1.0
b_bkg[3],0.044,0.00011,0.019,0.013,0.044,0.075,31383.0,8.8,1.0
b_bkg[4],-0.017,0.00011,0.019,-0.048,-0.017,0.014,30715.0,8.6,1.0
