,toybin0100,toybin0101,toybin0102,toybin0103,toybin0104,toybin0105,toybin0106,toybin0107,toybin0108,toybin0109,toybin0110,toybin0111,toybin0112,toybin0113,toybin0114,toybin0115,toybin0116,toybin0117,toybin0118,toybin0119,toybin0120,toybin0121,toybin0122,toybin0123,toybin0124,toybin0125,toybin0126,toybin0127,toybin0128,toybin0129,toybin0130,toybin0131,toybin0132,toybin0133,toybin0134,toybin0135,toybin0136,toybin0137,toybin0138,toybin0139,toybin0140,toybin0141,toybin0142,toybin0143,toybin0144,toybin0145,toybin0146,toybin0147,toybin0148,toybin0149,toybin0150,toybin0151,toybin0152,toybin0153,toybin0154,toybin0155,toybin0156,toybin0157,toybin0158,toybin0159,toybin0160,toybin0161,toybin0162,toybin0163,toybin0164,toybin0165,toybin0166,toybin0167,toybin0168,toybin0169,toybin0170,toybin0171,toybin0172,toybin0173,toybin0174,toybin0175,toybin0176,toybin0177,toybin0178,toybin0179,toybin0180,toybin0181,toybin0182,toybin0183,toybin0184,toybin0185,toybin0186,toybin0187,toybin0188,toybin0189,toybin0190,toybin0191,toybin0192,toybin0193,toybin0194,toybin0195,toybin0196,toybin0197,toybin0198,toybin0199
0,0.307283,0.615733,0.810679,0.729025,0.577959,0.719826,0.459055,0.323001,0.484141,0.772942,0.425352,0.386402,0.659384,0.693974,0.167535,0.421847,0.709762,0.0897379,0.672088,0.798918,0.343612,0.347637,0.820817,0.450809,0.431209,0.73205,0.149725,0.460021,0.104406,0.609447,0.767467,0.499532,0.723793,0.489947,0.352465,0.534322,0.39835,0.296755,0.843753,0.471254,0.39006,0.534332,0.788888,0.191305,0.537414,0.150604,0.487508,0.533711,0.498206,0.596783,0.598129,0.80817,0.482868,0.129939,0.781484,0.877074,0.53454,0.752576,0.552134,0.425922,0.477799,0.0825309,0.60233,0.842901,0.572578,0.59038,0.15851,0.247551,0.438072,0.415088,0.408661,0.36658,0.231058,0.137223,0.497408,0.350161,0.573993,0.319973,0.808921,0.550925,0.495837,0.306456,0.673793,0.0256818,0.5755,0.167495,0.120457,0.000168761,0.598981,0.338589,0.391362,0.520411,0.391603,0.605251,0.708636,0.296375,0.443571,0.458981,0.613434,0.50972
1,0.638597,0.563113,0.642578,0.5351,0.622501,0.663602,0.524772,0.378353,0.405477,0.636565,0.36858,0.697671,0.632392,0.221772,0.464401,0.592277,0.495777,0.16013,0.907801,0.631607,0.813173,0.481027,0.353903,0.222993,0.409846,0.390252,0.491263,0.532803,0.445362,0.401155,0.443786,0.630656,0.690914,0.413332,0.346561,0.662504,0.586928,0.375197,0.506724,0.399121,0.654933,0.431097,0.731084,0.703048,0.366958,0.5138,0.578701,0.408421,0.699996,0.480911,0.598594,0.713631,0.440908,0.283341,0.530899,0.899156,0.797479,0.751885,0.495412,0.454406,0.576633,0.198536,0.626162,0.550404,0.780077,0.338904,0.341462,0.481274,0.206222,0.676713,0.381268,0.397334,0.506969,0.29092,0.451611,0.557868,0.621845,0.541704,0.705932,0.906235,0.506332,0.240889,0.67649,0.297914,0.636805,0.274407,0.170321,0.319031,0.794215,0.456641,0.354196,0.451706,0.0699079,0.463131,0.513481,0.777456,0.441699,0.419979,0.382679,0.241899
2,0.615762,0.51354,0.348566,0.565108,0.495386,0.762901,0.454315,0.289322,0.454159,0.626923,0.574759,0.528676,0.617246,0.656896,0.33679,0.486159,0.584024,0.348343,0.654354,0.753022,0.321176,0.384561,0.651249,0.256875,0.403117,0.556116,0.229603,0.806863,0.137263,0.656053,0.691289,0.660603,0.590278,0.522557,0.282421,0.586503,0.502292,0.167972,0.814818,0.505327,0.392909,0.599151,0.514825,0.205247,0.448045,0.43841,0.229424,0.6732,0.577101,0.418356,0.455941,0.740176,0.440908,0.173025,0.486488,0.894262,0.753288,0.596107,0.399572,0.270949,0.389578,0.20167,0.621805,0.851,0.942739,0.65325,0.273064,0.268049,0.495614,0.811401,0.362302,0.377533,0.353202,0.0577289,0.582923,0.518439,0.495172,0.612864,0.554006,0.594022,0.524831,0.627467,0.715291,0.515784,0.553729,0.408601,0.0410354,0.10218,0.714371,0.404519,0.352026,0.287037,0.216734,0.656501,0.501766,0.806419,0.318032,0.425457,0.538895,0.613106
3,0.493188,0.715584,0.800542,0.562232,0.696804,0.804903,0.681228,0.289874,0.395541,0.55132,0.496804,0.457232,0.596943,0.438852,0.373048,0.55758,0.325101,0.204105,0.898526,0.668373,0.7545,0.516945,0.696387,0.312621,0.43213,0.708122,0.360259,0.2206,0.437431,0.193097,0.56822,0.327461,0.570801,0.378151,0.388587,0.598657,0.505008,0.18318,0.630833,0.31528,0.565177,0.343285,0.64155,0.44283,0.440473,0.517119,0.456685,0.392477,0.695393,0.359971,0.69015,0.665276,0.504544,0.260186,0.579671,0.780377,0.954142,0.442258,0.7492,0.39311,0.227021,0.272323,0.636074,0.551682,0.93759,0.819468,0.199581,0.379784,0.121162,0.38873,0.388092,0.351286,0.23794,0.478677,0.407172,0.578009,0.638758,0.59221,0.801428,0.570475,0.407224,0.0946387,0.41225,0.30166,0.577286,0.330563,0.300845,0.125166,0.91891,0.527271,0.459219,0.620579,0.25787,0.445067,0.423044,0.659232,0.445926,0.653051,0.43514,0.438852
4,0.530741,0.443006,0.88062,0.515723,0.418699,0.704513,0.743825,0.342152,0.476242,0.629137,0.388027,0.504447,0.472607,0.589769,0.169093,0.325204,0.641905,-0.0935894,0.927203,0.598072,0.670235,0.320171,0.631433,0.261875,0.428396,0.367897,0.236783,0.730088,0.497041,0.812177,0.729577,0.586889,0.68169,0.508888,0.239267,0.581133,0.46017,0.285301,0.63907,0.442801,0.366623,0.780659,0.540091,0.329547,0.542893,0.381512,0.212241,0.735016,0.764181,0.387475,0.418234,0.721979,0.418566,0.291075,0.600254,0.755858,0.932056,0.518623,0.229332,0.587468,0.629407,0.0745941,0.672873,0.784877,0.986801,0.843354,0.220226,0.527164,0.528244,0.705264,0.610956,0.51253,0.269226,0.514142,0.50262,0.728254,0.707509,0.55422,0.909327,0.837676,0.70004,0.645935,0.642233,0.404392,0.631679,0.427768,0.412629,0.326719,0.82573,0.619332,0.256575,0.365335,0.265141,0.604998,0.568164,0.451271,0.411585,0.364339,0.459424,0.492617
5,0.465862,0.87034,0.797855,0.652894,0.621316,0.698948,0.604165,0.330644,0.476783,0.447396,0.35703,0.473526,0.689238,0.258358,0.429131,0.268053,0.301691,-0.180131,0.886653,0.739565,0.374831,0.424691,0.712163,0.275252,0.395707,0.524301,0.193096,0.430927,0.463057,0.323497,0.651276,0.32031,0.479833,0.457029,0.604985,0.669831,0.454907,0.257746,0.539126,0.415534,0.573541,0.49871,0.854183,0.4222,0.758662,0.184422,0.573261,0.216578,0.652928,0.392456,0.759962,0.72562,0.560257,0.0737235,0.494941,0.698444,0.359028,0.486672,0.593504,0.170313,0.519978,0.131912,0.578622,0.885799,0.289102,0.149531,0.154602,0.512068,0.251613,0.444163,0.156733,0.530278,0.487915,0.172799,0.588075,0.524907,0.518696,0.473814,0.693763,0.733287,0.493592,0.457622,0.548131,0.488076,0.627345,0.352305,0.0662018,0.0687499,0.725793,0.229389,0.537356,0.512122,0.0501743,0.503448,0.407843,0.444938,0.404691,0.568545,0.523027,0.522513
6,0.832092,0.863695,0.584335,0.848099,0.617549,0.661627,0.378731,0.440602,0.413376,0.562268,0.333974,0.613965,0.770277,0.658352,0.234291,0.63005,0.694703,0.355516,0.751953,0.58328,0.580085,0.354554,0.572384,0.277529,0.516154,0.535027,0.264505,0.571669,0.40394,0.705096,0.548172,0.540658,0.594941,0.536804,0.213386,0.531627,0.837927,0.294556,0.692045,0.484219,0.17019,0.541674,0.587409,0.536218,0.500535,0.479758,0.289436,0.882768,0.652391,0.476379,0.715871,0.70971,0.416993,0.371261,0.683201,0.754944,0.86978,0.537837,0.554934,0.497012,0.3736,0.33084,0.607857,0.5621,0.816402,0.813832,0.269286,0.331134,0.462178,0.39331,0.609526,0.24954,0.604071,0.144973,0.378821,0.542296,0.321856,0.546751,0.683,0.746023,0.591092,0.367232,0.475646,0.470948,0.572539,0.402096,0.30464,0.351326,0.8046,0.461363,0.62303,0.530227,0.523175,0.558432,0.714007,0.522232,0.62965,0.271499,0.480898,0.289469
7,0.816608,0.740966,0.638297,0.677569,0.516337,0.823982,0.851831,0.569114,0.601366,0.593984,0.599264,0.434316,0.456979,0.324896,0.426554,0.431973,0.361548,-0.14882,0.694428,0.884036,0.438137,0.343389,0.621032,0.313465,0.488299,0.571951,0.152353,0.578648,0.122801,0.2756,0.918375,0.76872,0.398062,0.307378,0.471084,0.683216,0.243165,0.0886291,0.665278,0.246201,0.585977,0.596992,0.541943,0.616908,0.464537,0.663921,0.52594,0.487017,0.656585,0.312311,0.715048,0.379392,0.564662,0.0352049,0.455712,0.56351,0.930115,0.489919,0.588309,0.218958,0.477101,0.0947463,0.645367,0.797392,0.754885,0.492734,0.234586,0.251667,0.0710424,0.482308,0.424188,0.341904,0.724469,0.464474,0.401864,0.577516,0.871067,0.335385,0.678442,0.762568,0.597518,0.332531,0.59616,0.338653,0.804593,0.196694,-0.0286327,0.120267,0.699967,0.32375,0.299245,0.485739,0.402262,0.307666,0.285874,0.518067,0.275261,0.549642,0.491304,0.602121
8,0.410625,0.533224,0.70178,0.714986,0.30664,0.570172,0.608975,0.0981237,0.346828,0.78826,0.396153,0.615262,0.739288,0.53328,0.391454,0.447861,0.370727,0.264421,0.757978,0.43977,0.534365,0.479177,0.648944,0.344122,0.327701,0.495768,0.308728,0.622943,0.451419,0.79556,0.867289,0.701101,0.508087,0.440354,0.135621,0.481281,0.7382,0.326663,0.575255,0.600374,0.341326,0.373205,0.759017,0.180784,0.344207,0.125525,0.248225,0.561331,0.730987,0.522643,0.489793,0.782011,0.479454,0.406332,0.552691,0.445698,0.728636,0.496015,0.451173,0.652612,0.344909,0.10097,0.493557,0.609595,0.728539,0.461463,0.377589,0.38964,0.567306,0.535834,0.303058,0.446046,0.044041,0.00800134,0.505944,0.450059,0.870564,0.564689,0.652535,0.489223,0.797346,0.353862,0.319112,0.368397,0.465093,0.509575,0.433211,0.34005,0.787023,0.346588,0.391548,0.543694,0.291646,0.688845,0.66982,0.461876,0.6277,0.230129,0.561949,0.231437
9,0.745219,0.765692,0.792269,0.579187,0.700299,0.813507,0.534598,0.337572,0.490218,0.793028,0.360417,0.695938,0.819843,0.45176,0.293597,0.505816,0.358637,-0.0548518,0.701347,0.854513,0.518947,0.304247,0.608006,0.253219,0.305655,0.572712,0.278878,0.469185,0.186912,0.439849,0.53632,0.419863,0.777486,0.333788,0.516866,0.79754,0.519715,0.20625,0.872122,0.283802,0.455349,0.599525,0.525598,0.564086,0.610049,0.648251,0.676421,0.360582,0.661099,0.383317,0.694393,0.402701,0.467185,-0.0776001,0.648583,0.764842,0.862859,0.513745,0.321424,0.30125,0.433787,0.275504,0.643977,0.763437,0.595983,0.693713,0.0480504,0.389998,0.212021,0.290366,0.398563,0.412897,0.684711,0.339394,0.577434,0.661118,0.750427,0.527262,0.710221,0.996394,0.424467,0.36686,0.571624,0.387375,0.789422,0.270626,0.0966864,0.170539,0.801484,0.680596,0.45197,0.362967,0.11869,0.476341,0.517753,0.482708,0.440052,0.478758,0.538745,0.545731
