pol.	phi	weight
0.3	-125.591	1
0.3	-23.0156	1
0.3	124.119	1
0.3	-2.07623	1
0.3	156.857	1
0.3	26.3397	1
0.3	-166.928	1
0.3	-2.0859	1
0.3	-104.223	1
0.3	-6.05496	1
0.3	-8.36909	1
0.3	-30.9537	1
0.3	-156.848	1
0.3	96.9806	1
0.3	-70.2096	1
0.3	170.096	1
0.3	-33.5013	1
0.3	-177.63	1
0.3	139.623	1
0.3	-14.4613	1
0.3	-40.8068	1
0.3	-4.46616	1
0.3	23.3146	1
0.3	-10.4851	1
0.3	-65.6281	1
0.3	-91.9522	1
0.3	91.3507	1
0.3	-109.043	1
0.3	141.972	1
0.3	-98.5398	1
0.3	19.5706	1
0.3	-157.731	1
0.3	-2.21977	1
0.3	107.741	1
0.3	142.986	1
0.3	-16.2884	1
0.3	31.6827	1
0.3	78.8967	1
0.3	-10.6734	1
0.3	-130.08	1
0.3	-1.3768	1
0.3	-76.1487	1
0.3	81.1537	1
0.3	27.5409	1
0.3	83.0786	1
0.3	155.892	1
0.3	87.8138	1
0.3	57.0016	1
0.3	162.164	1
0.3	141.197	1
0.3	132.198	1
0.3	129.43	1
0.3	136.942	1
0.3	-100.74	1
0.3	-86.1883	1
0.3	112.787	1
0.3	-18.2928	1
0.3	-30.8404	1
0.3	-97.2824	1
0.3	-42.353	1
0.3	-5.55875	1
0.3	-128.434	1
0.3	-29.3931	1
0.3	76.2469	1
0.3	-24.3224	1
0.3	-148.899	1
0.3	8.82937	1
0.3	-108.932	1
0.3	80.2732	1
0.3	128.918	1
0.3	19.8427	1
0.3	-172.977	1
0.3	126.658	1
0.3	-129.655	1
0.3	-125.707	1
0.3	171.219	1
0.3	-80.7842	1
0.3	-3.84642	1
0.3	-36.3049	1
0.3	83.2292	1
0.3	-124.822	1
0.3	-85.4906	1
0.3	-176.848	1
0.3	14.7071	1
0.3	-163.323	1
0.3	-57.5052	1
0.3	133.202	1
0.3	-35.2515	1
0.3	172.253	1
0.3	153.939	1
0.3	-95.7389	1
0.3	-15.3115	1
0.3	123.489	1
0.3	-23.529	1
0.3	104.625	1
0.3	-82.3217	1
0.3	95.9561	1
0.3	-6.84293	1
0.3	107.667	1
0.3	-96.7609	1
0.3	-90.3293	1
0.3	-84.636	1
0.3	-109.065	1
0.3	-162.583	1
0.3	20.0138	1
0.3	105.679	1
0.3	-136.943	1
0.3	29.3212	1
