# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = stan_file_model
# start_datetime = 2022-02-24 09:10:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpqzc7lzv2/kqv3d2pp.json
# init = 2 (Default)
# random
#   seed = 73085
# output
#   file = /home/jakob/Documents/Studium/master_thesis/bayes/noisy_model/csv_files/stan_file-20220224101003_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.781535
# Diagonal elements of inverse mass matrix:
# 0.00584986, 0.00337597
-13.3061,0.998402,0.781535,3,7,0,14.6858,1.0399,0.932659,2.21445,1.60521,1.24183,0.538444,-0.205689,-0.0388679,0.271082,0.955628,2.0346,1.08508,1.16573,0.925196,-0.126817,-0.0601063,0.220873,-2.57542,0.2633,0.212245,-0.064429,0.393742,-0.254759,-1.59514,0.558193,1.01908,0.5043,-0.0113226,0.647345,-2.32668,-1.4992,0.318747,1.97256,1.71837,1.08006,0.369691,-0.0654565,-0.0126481,0.5023,1.22764,1.80877,1.96159,1.61139,0.929372,0.248961,-0.0972047,0.0601063
-15.5191,0.842311,0.781535,3,7,0,16.5352,1.17539,0.9768,2.30518,1.66003,1.10836,0.523248,-0.274018,-0.234956,0.498103,1.31956,1.79344,2.26963,1.34974,0.767602,-0.177809,-0.57771,0.382287,-0.606584,0.0109119,0.15525,-0.270568,0.196602,-0.747264,-1.47656,0.372423,0.042071,0.496766,-0.428485,0.557349,-2.64039,-2.36818,0.275885,2.15219,1.86488,1.14341,0.340487,-0.151354,-0.0916654,0.490372,1.31021,1.96706,2.13979,1.74396,0.973084,0.204028,-0.187238,-0.00943236
-11.9877,0.992549,0.781535,3,7,0,15.4425,0.970328,0.995918,1.8473,2.02078,1.23316,0.37072,0.141433,-0.20357,0.96781,0.661101,1.79707,1.97742,1.54245,0.692517,0.27144,-0.0434567,0.225289,-2.6606,0.25316,0.166842,0.466951,0.465051,0.289513,-2.61888,0.478133,1.00905,0.494251,-0.0565285,0.500902,-1.64229,-0.501055,0.255048,1.96625,1.72906,1.13346,0.470615,0.0645813,0.113857,0.594351,1.27116,1.81341,1.95601,1.62924,0.99285,0.357963,0.0349572,0.181743
-12.2812,0.867994,0.781535,2,3,0,13.2828,0.905986,1.01728,1.82576,1.83192,1.39817,0.707967,0.657649,-0.11682,0.754975,1.2562,1.7004,1.84098,1.46355,1.02766,0.00902313,0.00076849,0.20146,-3.26891,0.276438,0.152439,0.64115,0.367318,0.478285,-3.22884,0.470888,1.05581,0.397803,-0.00457395,0.428125,-1.29277,-0.0331021,0.127078,1.92327,1.70181,1.1457,0.526809,0.147699,0.193707,0.64234,1.27427,1.78057,1.91371,1.6086,1.01442,0.421626,0.120039,0.257092
-12.0333,1,0.781535,2,3,0,12.324,0.969118,1.04872,1.82487,1.41571,0.961477,0.820202,0.29154,0.229538,0.194389,1.2147,1.84415,1.59385,1.83136,1.46526,0.312634,0.255882,0.394498,-1.99662,0.185432,0.0943504,0.634681,0.414325,0.430078,-3.29959,0.328733,0.820889,0.563332,-0.207714,0.30198,-1.34557,-0.188198,0.170558,2.01784,1.78095,1.18609,0.524072,0.118544,0.167758,0.647654,1.32362,1.8652,2.00761,1.68125,1.04566,0.41156,0.0889568,0.23556
-12.3134,0.97272,0.781535,2,3,0,12.4339,1.02433,0.98114,2.14892,1.41854,0.761099,0.653142,-0.0864286,-0.242951,0.576567,1.37569,1.87253,1.95197,1.27704,0.958946,-0.398105,0.132157,-0.12592,-2.14914,0.223023,0.174536,0.269721,0.462696,0.0522869,-2.18282,0.476885,0.914309,0.55102,-0.11258,0.544496,-1.94453,-0.975404,0.308572,2.00547,1.75509,1.12634,0.4266,-0.00203346,0.0499844,0.557223,1.2717,1.84414,1.99467,1.64971,0.977902,0.307677,-0.0333064,0.12165
