# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = stan_file_model
# start_datetime = 2022-02-24 09:10:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/tmpqzc7lzv2/kqv3d2pp.json
# init = 2 (Default)
# random
#   seed = 73085
# output
#   file = /home/jakob/Documents/Studium/master_thesis/bayes/noisy_model/csv_files/stan_file-20220224101003_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.867916
# Diagonal elements of inverse mass matrix:
# 0.00611437, 0.00328662
-13.1026,1,0.867916,2,3,0,13.6018,0.854799,1.01321,1.98153,1.46635,2.02493,1.06656,-0.258367,0.138605,1.04137,1.44403,1.73474,1.44201,1.01213,1.02991,-0.0224128,0.353726,0.34864,-4.1246,0.295894,0.165811,0.688436,0.267601,0.529888,-3.45907,0.51116,1.02436,0.219846,0.0781368,0.442164,-1.14292,0.165335,0.0345485,1.86801,1.65907,1.13438,0.550455,0.192764,0.236173,0.659459,1.25569,1.73338,1.85899,1.57113,1.01051,0.451215,0.166667,0.295977
-12.8088,1,0.867916,3,7,0,13.4385,1.05847,1.05548,2.11176,2.1391,1.5343,0.695081,-0.245108,0.078679,0.574265,1.73088,2.11729,1.67881,1.76032,1.26147,-0.170558,0.219018,0.162968,-0.952269,0.0350692,0.060627,0.510925,0.472586,0.221524,-2.90583,0.208749,0.23604,0.550698,-0.437675,0.272734,-1.63296,-0.68309,0.271788,2.11395,1.85522,1.20552,0.482465,0.0395475,0.0932988,0.617441,1.35573,1.94724,2.10279,1.74633,1.05214,0.359579,0.00723242,0.167352
-13.5187,0.889594,0.867916,3,7,0,14.5693,0.921723,1.11902,2.15029,1.99769,1.56701,0.62951,0.100594,0.203484,0.626391,1.175,1.81444,1.81761,1.30776,1.11044,0.222872,0.475039,0.149337,-1.72497,0.123429,-0.0299609,0.738188,0.14648,0.5476,-4.594,0.101498,0.645367,0.577065,-0.341395,-0.0724486,-0.855716,0.301384,-0.109821,2.04074,1.81544,1.24967,0.620032,0.234336,0.281143,0.73757,1.38048,1.89557,2.03102,1.72062,1.11611,0.513022,0.206196,0.34563
-13.4806,0.95564,0.867916,2,3,0,14.8642,0.839998,1.00359,1.61408,2.09702,0.76162,0.641576,0.464291,0.184026,1.04189,1.21779,1.57661,2.10081,1.33334,0.967073,0.459244,0.570265,0.221475,-4.52921,0.297829,0.178311,0.685708,0.255614,0.532879,-3.41151,0.5364,0.969674,0.121709,0.114837,0.474978,-1.14238,0.184312,0.0271949,1.84359,1.63826,1.12266,0.548847,0.197349,0.240006,0.655963,1.24187,1.71129,1.83473,1.55185,1.00094,0.451325,0.171704,0.298775
-12.1447,0.975281,0.867916,2,3,0,13.8125,0.952501,0.983679,2.06644,2.19694,1.1971,0.497838,-0.248957,0.116707,0.829942,1.00098,1.81326,2.07542,2.14236,0.770847,0.653095,0.0763134,-0.0135677,-3.08086,0.275344,0.182232,0.456833,0.462406,0.301718,-2.56001,0.514714,1.05183,0.429851,0.00317182,0.536852,-1.64529,-0.46719,0.251607,1.93618,1.70335,1.11869,0.468028,0.0694532,0.117823,0.58949,1.25387,1.78616,1.92613,1.60536,0.980668,0.357445,0.0403733,0.184463
-12.0806,0.999813,0.867916,2,3,0,12.2075,1.01207,1.03306,1.9881,1.79664,0.992681,0.815851,-0.510129,0.126615,0.893086,1.39697,1.77381,2.21218,1.91934,0.888423,0.374324,-0.0328315,0.53113,-1.67451,0.156928,0.109576,0.520394,0.466453,0.287011,-2.8651,0.340404,0.7075,0.578157,-0.247966,0.368806,-1.58664,-0.527671,0.252374,2.04514,1.79775,1.17652,0.485162,0.06166,0.113055,0.614222,1.32015,1.88573,2.03446,1.69363,1.02986,0.367663,0.0307614,0.183862
-12.1256,0.980334,0.867916,2,3,0,12.4063,0.958455,0.983451,1.80099,1.45055,1.38524,0.116781,0.357764,0.0325759,0.50073,1.17517,1.65775,1.89206,1.48493,1.01145,0.358454,-0.142027,0.273133,-2.99893,0.272181,0.181634,0.44305,0.465581,0.284273,-2.52764,0.511868,1.04713,0.443432,-0.00557964,0.537542,-1.66933,-0.505528,0.258139,1.94191,1.70762,1.11931,0.464576,0.0635101,0.112182,0.586798,1.25533,1.79094,1.93179,1.60902,0.980421,0.353302,0.0342485,0.179238
