# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = stan_file_model
# start_datetime = 2022-04-11 16:42:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/1b5b1rv519lbn0jf9y1nplvc0000gn/T/tmprkdt6u2a/ibqqr98i.json
# init = 2 (Default)
# random
#   seed = 99797
# output
#   file = /Users/jakob/Documents/Studium/master_thesis/bayes/noisy_model/csv_files/stan_file-20220411184233_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.904706
# Diagonal elements of inverse mass matrix:
# 0.00629401, 0.00345513
-10.5801,0.890794,0.904706,2,3,0,11.1433,1.02158,0.967025,2.49942,2.21462,0.964638,0.389912,0.0216409,0.0698219,0.524643,1.56697,1.96755,1.74015,1.87061,1.68822,0.543044,-0.123577,0.498536,0.111169,-0.882247,0.898628,0.125055,-3.1402,-0.101154,0.141177,-0.20352,0.198834,0.211536,-0.268536,0.12035,0.267042,0.526919,0.27112,1.9886,1.73889,1.11183,0.413977,-0.0135033,0.0383746,0.544249,1.25681,1.8277,1.97783,1.6338,0.963796,0.295374,-0.0446921,0.109847
-10.8138,0.960468,0.904706,2,3,0,11.171,1.11192,1.09011,2.29686,1.74793,1.13464,0.468167,0.667256,0.419899,0.895539,1.08663,1.91853,2.36583,1.68395,1.29947,0.555667,-0.171693,0.23205,0.524433,0.0103114,0.404766,0.597988,-3.45764,0.192951,-0.379792,-0.84222,0.448075,-0.541931,0.491067,-0.22915,0.151306,0.574462,0.320825,2.20203,1.93024,1.24772,0.488152,0.0228674,0.0793332,0.629945,1.40552,2.0269,2.1903,1.81585,1.08659,0.359061,-0.0110796,0.157126
-10.4253,1,0.904706,2,3,0,10.9728,1.15097,1.00513,2.14328,2.10916,1.16232,0.313622,-0.0522275,-0.337806,0.392642,1.14818,2.33827,2.19522,1.97982,0.621299,0.330057,-0.103087,0.169418,0.504491,-0.195487,0.780654,-0.144479,-2.44518,-0.830774,0.216271,-0.49282,0.442212,-0.32597,0.320287,0.0318911,0.319718,0.283106,0.145213,2.15611,1.87476,1.16828,0.382035,-0.09959,-0.0411412,0.528807,1.33162,1.97482,2.14396,1.75636,1.00149,0.24841,-0.134729,0.0393839
-10.3691,1,0.904706,2,3,0,10.6223,1.01643,0.997967,1.93886,1.83684,1.24391,0.495758,-0.377183,0.386348,0.67249,0.508605,1.93476,1.84653,2.01603,1.64767,0.558537,-0.0540244,0.265105,0.204501,-0.724845,0.850896,0.366639,-3.45333,0.157808,-0.0389641,-0.309786,0.267652,0.15224,-0.108215,0.0489316,0.210991,0.576986,0.310842,2.01439,1.76594,1.14204,0.447709,0.0223845,0.0740008,0.577323,1.28629,1.8543,2.00367,1.66138,0.994754,0.329704,-0.00864699,0.145113
-10.0781,0.953167,0.904706,1,3,0,10.8207,1.0998,1.03289,1.77221,2.28936,1.26109,0.534405,-0.17367,-0.17124,0.400694,1.46717,1.79636,2.4516,1.86426,1.2809,0.505869,0.22156,0.42876,0.479771,-0.241012,0.707115,0.298169,-3.06203,-0.142798,-0.0414228,-0.550794,0.432474,-0.230007,0.300206,-0.0443852,0.245274,0.505022,0.271432,2.1327,1.86386,1.18879,0.437497,-0.0227168,0.0331335,0.577744,1.34487,1.95947,2.12109,1.75072,1.02942,0.309812,-0.0562938,0.110079
-12.5445,0.561221,0.904706,2,3,0,13.24,0.987062,1.11789,2.2364,1.36352,1.27096,0.378479,0.33346,0.570815,1.125,1.33045,2.38153,2.15255,1.74995,0.828919,0.514156,0.103395,0.481179,0.437748,-0.241799,0.339504,0.891811,-4.89131,0.781033,-1.02062,-0.803187,0.424181,-0.127382,0.340166,-0.334321,-0.168257,0.495507,0.311266,2.10495,1.86368,1.2578,0.58353,0.170494,0.220619,0.7094,1.39788,1.94949,2.09454,1.76213,1.11477,0.468935,0.140359,0.289676
