# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = stan_file_model
# start_datetime = 2022-04-11 16:42:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/1b5b1rv519lbn0jf9y1nplvc0000gn/T/tmprkdt6u2a/ibqqr98i.json
# init = 2 (Default)
# random
#   seed = 99797
# output
#   file = /Users/jakob/Documents/Studium/master_thesis/bayes/noisy_model/csv_files/stan_file-20220411184233_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,y_tilde.1,y_tilde.2,y_tilde.3,y_tilde.4,y_tilde.5,y_tilde.6,y_tilde.7,y_tilde.8,y_tilde.9,y_tilde.10,y_tilde.11,y_tilde.12,y_tilde.13,y_tilde.14,y_tilde.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15
# Adaptation terminated
# Step size = 0.894467
# Diagonal elements of inverse mass matrix:
# 0.00697596, 0.00305696
-10.6666,0.619469,0.894467,2,3,0,14.1334,1.00027,0.976948,2.15667,1.82006,0.913977,0.3634,0.267008,0.0761604,0.879135,0.770045,1.73063,2.00312,1.70061,0.888432,0.201256,-0.515371,0.29816,0.0661474,-0.919658,0.890851,0.283882,-3.40439,0.114883,0.0423177,-0.216921,0.175897,0.234383,-0.293058,0.0985325,0.229525,0.571649,0.303736,1.97721,1.73271,1.11873,0.435439,0.0168776,0.0676731,0.562993,1.26069,1.81967,1.96666,1.62981,0.973786,0.319311,-0.0136605,0.137654
-10.1014,0.994621,0.894467,2,3,0,10.7262,1.05108,1.01442,2.15613,1.53101,1.16563,0.571527,0.206225,-0.0381447,0.541289,1.30203,2.01726,1.97306,2.15562,1.1643,0.361139,-0.177162,0.330131,0.354211,-0.497625,0.795726,0.351505,-3.30493,0.0535283,-0.0513436,-0.413003,0.360219,0.00976073,0.0912453,0.00669559,0.222446,0.555563,0.298405,2.0655,1.80857,1.1634,0.445399,0.00557308,0.0589492,0.579432,1.31257,1.89995,2.05441,1.70044,1.0111,0.323371,-0.0265165,0.132486
-10.2283,0.966563,0.894467,2,3,0,10.3992,1.04292,1.03655,1.8474,1.99298,1.35074,0.652667,0.126866,0.123111,0.673923,0.966963,1.35006,1.9431,1.95889,1.38443,0.645407,0.0270762,0.0188124,0.386985,-0.419109,0.724292,0.512937,-3.57156,0.251169,-0.20955,-0.496123,0.383965,-0.0358212,0.167069,-0.0555837,0.16905,0.587884,0.323988,2.07947,1.82454,1.18438,0.471949,0.0355392,0.0885008,0.604943,1.33239,1.91521,2.06847,1.71725,1.03325,0.350869,0.00369881,0.161466
-10.2382,0.890163,0.894467,2,3,0,11.2395,1.13538,1.03038,2.40234,1.93257,1.29132,0.38453,0.208375,-0.372152,0.49383,2.10097,1.9047,2.14594,1.89538,1.03828,0.0849807,-0.093953,0.480148,0.511822,-0.141554,0.696899,0.138702,-2.76005,-0.442798,0.0558797,-0.584889,0.447321,-0.36932,0.370661,-0.0368335,0.282451,0.414319,0.221412,2.16576,1.88823,1.19132,0.41573,-0.0593681,-0.00171134,0.560513,1.35245,1.98693,2.15378,1.77143,1.02679,0.283916,-0.0940311,0.0777225
-10.1355,1,0.894467,2,3,0,10.279,1.07069,1.04129,1.8708,2.27106,1.14407,1.12556,-0.606035,-0.121813,0.707787,1.64735,2.06384,2.39176,1.56027,1.06734,0.421539,0.295064,0.0224072,0.4497,-0.300147,0.689749,0.453581,-3.37559,0.117079,-0.16613,-0.55141,0.418311,-0.150295,0.260599,-0.0693865,0.196495,0.565304,0.308807,2.11198,1.85026,1.19306,0.461652,0.0136201,0.0679921,0.598187,1.345,1.94334,2.10069,1.74012,1.0379,0.337348,-0.0190682,0.142901
-10.4592,0.631873,0.894467,2,3,0,13.7328,1.15899,1.0187,1.90123,1.67556,1.38829,0.324371,-0.230863,-0.193628,0.792089,1.44576,2.04069,2.47604,1.49353,1.38796,-0.0648495,-0.442233,0.111823,0.518574,-0.117744,0.72959,-0.0625437,-2.49008,-0.765532,0.167067,-0.562389,0.449494,-0.422577,0.382377,-0.00395693,0.312429,0.303317,0.160156,2.17769,1.89439,1.18298,0.391262,-0.093717,-0.0348611,0.539057,1.34746,1.99514,2.16546,1.77516,1.01504,0.256707,-0.129101,0.0462248
