,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin00costbin06,ebin00costbin07,ebin00costbin08,ebin00costbin09,ebin00costbin10,ebin00costbin11,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin01costbin06,ebin01costbin07,ebin01costbin08,ebin01costbin09,ebin01costbin10,ebin01costbin11,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05,ebin02costbin06,ebin02costbin07,ebin02costbin08,ebin02costbin09,ebin02costbin10,ebin02costbin11,ebin03costbin00,ebin03costbin01,ebin03costbin02,ebin03costbin03,ebin03costbin04,ebin03costbin05,ebin03costbin06,ebin03costbin07,ebin03costbin08,ebin03costbin09,ebin03costbin10,ebin03costbin11,ebin04costbin00,ebin04costbin01,ebin04costbin02,ebin04costbin03,ebin04costbin04,ebin04costbin05,ebin04costbin06,ebin04costbin07,ebin04costbin08,ebin04costbin09,ebin04costbin10,ebin04costbin11,ebin05costbin00,ebin05costbin01,ebin05costbin02,ebin05costbin03,ebin05costbin04,ebin05costbin05,ebin05costbin06,ebin05costbin07,ebin05costbin08,ebin05costbin09,ebin05costbin10,ebin05costbin11,ebin06costbin00,ebin06costbin01,ebin06costbin02,ebin06costbin03,ebin06costbin04,ebin06costbin05,ebin06costbin06,ebin06costbin07,ebin06costbin08,ebin06costbin09,ebin06costbin10,ebin06costbin11,ebin07costbin00,ebin07costbin01,ebin07costbin02,ebin07costbin03,ebin07costbin04,ebin07costbin05,ebin07costbin06,ebin07costbin07,ebin07costbin08,ebin07costbin09,ebin07costbin10,ebin07costbin11,ebin08costbin00,ebin08costbin01,ebin08costbin02,ebin08costbin03,ebin08costbin04,ebin08costbin05,ebin08costbin06,ebin08costbin07,ebin08costbin08,ebin08costbin09,ebin08costbin10,ebin08costbin11,ebin09costbin00,ebin09costbin01,ebin09costbin02,ebin09costbin03,ebin09costbin04,ebin09costbin05,ebin09costbin06,ebin09costbin07,ebin09costbin08,ebin09costbin09,ebin09costbin10,ebin09costbin11,ebin10costbin00,ebin10costbin01,ebin10costbin02,ebin10costbin03,ebin10costbin04,ebin10costbin05,ebin10costbin06,ebin10costbin07,ebin10costbin08,ebin10costbin09,ebin10costbin10,ebin10costbin11
sigma_median,0.071,-0.033,0.26,0.13,0.38,0.74,0.77,0.76,0.66,0.66,0.79,0.69,0.037,-0.12,0.19,0.24,0.36,0.68,0.73,0.73,0.87,0.6,0.58,0.29,-0.46,0.084,0.49,0.53,0.65,0.74,0.61,0.81,0.78,0.44,0.46,0.41,-0.27,0.17,0.22,0.5,0.45,0.85,0.78,0.89,0.72,0.8,0.8,0.37,-0.12,-0.002,0.37,0.5,0.72,0.73,0.7,0.86,0.69,0.89,0.76,0.13,0.27,0.32,0.66,0.63,0.77,0.54,0.57,0.89,0.71,0.67,0.7,0.63,0.3,0.54,0.51,0.44,0.36,0.41,0.52,0.69,0.77,0.69,0.8,0.18,0.68,0.49,0.45,0.33,0.19,0.31,0.45,0.64,0.78,0.75,0.76,0.42,0.47,0.8,0.37,0.23,0.15,0.12,0.4,0.47,0.55,0.75,0.72,0.6,0.84,0.76,0.73,-0.031,0.045,-0.0027,0.21,0.43,0.56,0.89,0.83,0.57,0.31,0.8,0.47,0.12,-0.091,0.012,0.21,0.56,0.68,0.86,0.85,0.49
mcse,0.0042023500000000005,0.0052149499999999994,0.003969,0.003225500000000006,0.003132999999999997,0.0028489999999999904,0.0028015000000000123,0.00268050000000003,0.0027329999999999854,0.0027065000000000006,0.0030060000000000087,0.003477000000000008,0.003967700000000001,0.0036284999999999998,0.0028084999999999916,0.0024010000000000004,0.0025170000000000192,0.0026470000000000105,0.002485499999999974,0.002642999999999951,0.0018634999999999624,0.00274000000000002,0.0028610000000000024,0.003805999999999976,0.003529499999999991,0.0026896999999999963,0.002612000000000003,0.0022800000000000042,0.002010999999999985,0.0021680000000000033,0.0018865000000000132,0.0017894999999999994,0.0023090000000000055,0.0017139999999999933,0.001928000000000013,0.00268199999999999,0.002908999999999995,0.0029384999999999967,0.0019145000000000134,0.00187550000000003,0.0016340000000000243,0.0015980000000000438,0.0018465000000000287,0.0014945000000000097,0.0014575000000000005,0.0016039999999999943,0.001580999999999999,0.0019909999999999928,0.003429500000000002,0.002188858,0.002032000000000006,0.0015764999999999807,0.0017665000000000042,0.0017579999999999818,0.0013965000000000227,0.0016005000000000047,0.001435500000000034,0.0016019999999999923,0.001519500000000007,0.001965500000000009,0.002507499999999996,0.002503499999999992,0.002279000000000031,0.0018124999999999947,0.001939499999999983,0.001397499999999996,0.0013844999999999552,0.001548999999999967,0.0013889999999999736,0.001331500000000041,0.001499000000000028,0.0016940000000000288,0.0031855000000000078,0.002548500000000009,0.0020479999999999943,0.0017549999999999788,0.0014504999999999935,0.0013510000000000189,0.0012524999999999897,0.001095500000000027,0.0013144999999999962,0.0013735000000000275,0.0011079999999999979,0.0012659999999999894,0.0033655000000000213,0.00197650000000002,0.0015539999999999998,0.0015954999999999997,0.0016924999999999996,0.0014260000000000106,0.001302500000000012,0.0012004999999999932,0.0013905000000000167,0.0011700000000000044,0.001065499999999997,0.0010599999999999776,0.002545500000000006,0.001851000000000047,0.0015139999999999876,0.0013304999999999984,0.0011470000000000091,0.0011970000000000036,0.0009850000000000136,0.0009834999999999983,0.0010249999999999981,0.0009870000000000156,0.0008684999999999943,0.0010384999999999978,0.0021114999999999884,0.002618000000000009,0.002477000000000007,0.0019539499999999994,0.0020055999999999997,0.0017599350000000002,0.001693,0.0017500000000000016,0.001796999999999993,0.001497499999999985,0.0016895000000000104,0.0014390000000000236,0.002618499999999996,0.002022999999999997,0.0018429999999999835,0.001849499999999997,0.0015292500000000028,0.0014029000000000003,0.0014870000000000022,0.0017594999999999694,0.0018710000000000115,0.0012400000000000189,0.0011309999999999931,0.0015674999999999994
rhat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pval00,0.59625,0.8603,0.00285,0.8117,0.9227,0.2873,0.3608,0.3656,0.2346,0.683,0.84575,0.51855,0.522,0.04585,0.43375,0.31945,0.5484,0.1925,0.46365,0.2479,0.77955,0.5054,0.7691,0.71405,0.5921,0.7465,0.32535,0.6102,0.2717,0.67125,0.1845,0.3377,0.3114,0.50285,0.8637,0.4815,0.33055,0.26135,0.26465,0.3243,0.4078,0.82035,0.3988,0.2724,0.9251,0.2672,0.4768,0.04385,0.09085,0.22755,0.32325,0.21665,0.0575,0.3521,0.07595,0.199,0.90285,0.96215,0.64475,0.42775,0.13595,0.9606,0.73885,0.5627,0.13775,0.0381,0.42865,0.12545,0.5418,0.8623,0.3198,0.51275,0.32305,0.33795,0.5388,0.0431,0.48595,0.2823,0.57195,0.36715,0.33485,0.7804,0.5175,0.58715,0.5097,0.0345,0.833,0.39355,0.5568,0.60005,0.4519,0.08215,0.348,0.3071,0.81885,0.6544,0.13385,0.6073,0.69635,0.48445,0.6803,0.46175,0.5006,0.7812,0.8845,0.1261,0.57125,0.96495,0.37325,0.8764,0.68445,0.3629,0.36535,0.38935,0.45285,0.88645,0.2579,0.6362,0.661,0.6053,0.6005,0.21615,0.76525,0.2006,0.52865,0.3625,0.0466,0.38055,0.9739,0.4326,0.7785,0.5133
pval01,0.834,0.7685,0.3907,0.4556,0.7379,0.6822,0.53265,0.576,0.95235,0.3006,0.5889,0.4037,0.28815,0.05495,0.18375,0.5092,0.27205,0.76205,0.38285,0.90655,0.09625,0.5473,0.09155,0.59135,0.29755,0.35925,0.31175,0.31365,0.5849,0.57325,0.90695,0.6388,0.8419,0.47785,0.34895,0.244,0.3833,0.58955,0.69085,0.07865,0.84075,0.08175,0.6153,0.60185,0.5636,0.52385,0.4995,0.26205,0.5114,0.71185,0.5255,0.81625,0.5238,0.68115,0.52295,0.47625,0.78065,0.7315,0.49265,0.13315,0.67875,0.43035,0.27895,0.52385,0.41955,0.8458,0.77595,0.35515,0.01995,0.7263,0.9904,0.2095,0.1164,0.35505,0.1583,0.3453,0.3641,0.6369,0.56275,0.9924,0.16375,0.4551,0.62775,0.1591,0.6835,0.7641,0.94015,0.49835,0.775,0.1076,0.6069,0.5212,0.20965,0.5908,0.068,0.72635,0.29745,0.8104,0.14755,0.7445,0.8901,0.7628,0.5509,0.7995,0.3464,0.7073,0.3904,0.5843,0.5534,0.3103,0.0211,0.7226,0.58155,0.5906,0.47695,0.4599,0.85615,0.6294,0.2218,0.2882,0.84075,0.53325,0.5956,0.77725,0.66245,0.39085,0.29305,0.48415,0.3361,0.97285,0.60015,0.2953
pval02,0.5652,0.33765,0.7675,0.0801,0.48255,0.31545,0.45465,0.40915,0.13805,0.36985,0.6795,0.3559,0.60635,0.86715,0.43725,0.59215,0.28715,0.42125,0.1395,0.12295,0.43035,0.52605,0.13555,0.34365,0.55965,0.77805,0.76605,0.0282,0.72845,0.3023,0.7476,0.4813,0.3243,0.58515,0.6241,0.2707,0.4116,0.39835,0.62525,0.69545,0.32645,0.7011,0.56665,0.65885,0.05635,0.49225,0.20425,0.29275,0.3209,0.16345,0.37415,0.64585,0.6591,0.77165,0.6451,0.5114,0.9738,0.82565,0.2375,0.82625,0.40395,0.8454,0.85505,0.41145,0.2693,0.0647,0.58515,0.54165,0.87745,0.74595,0.40215,0.74825,0.648,0.3028,0.95395,0.57635,0.01175,0.84565,0.73725,0.25795,0.18955,0.3575,0.20875,0.63075,0.46215,0.42245,0.6682,0.95575,0.5765,0.8188,0.58785,0.79515,0.11335,0.5607,0.1219,0.5921,0.4409,0.39195,0.9403,0.21395,0.42905,0.0972,0.704,0.52205,0.7528,0.74055,0.7742,0.94705,0.36365,0.87215,0.80255,0.2123,0.61225,0.97195,0.05545,0.26295,0.882,0.0384,0.79815,0.49265,0.39215,0.38305,0.1425,0.6741,0.6656,0.78955,0.85005,0.2653,0.53725,0.14845,0.5477,0.83775
pval03,0.69355,0.46285,0.0445,0.5732,0.5703,0.25345,0.70755,0.07085,0.5909,0.7102,0.3124,0.6044,0.6208,0.73505,0.97755,0.8975,0.8123,0.84845,0.39655,0.7936,0.05045,0.49525,0.9116,0.2954,0.05385,0.8927,0.67505,0.82645,0.98135,0.9255,0.10735,0.73605,0.6734,0.26125,0.83595,0.76795,0.47475,0.0094,0.3646,0.8516,0.43035,0.29905,0.4032,0.24325,0.2296,0.4319,0.92105,0.42125,0.25445,0.3868,0.47885,0.44095,0.70945,0.903,0.7966,0.47665,0.20915,0.5196,0.20445,0.71815,0.5821,0.2481,0.0789,0.7803,0.74285,0.66605,0.4025,0.8642,0.8827,0.52035,0.71655,0.67995,0.948,0.6618,0.40145,0.71365,0.9474,0.863,0.4273,0.0959,0.3679,0.5126,0.6842,0.0764,0.5004,0.9602,0.74195,0.68235,0.68495,0.51375,0.63975,0.13045,0.34465,0.21805,0.84095,0.54745,0.70015,0.27595,0.85905,0.75015,0.1907,0.73645,0.38835,0.2737,0.01325,0.84555,0.82425,0.18565,0.64445,0.3146,0.85365,0.94985,0.15735,0.15095,0.41715,0.9275,0.73125,0.77435,0.55855,0.95035,0.83155,0.8969,0.5805,0.6296,0.80465,0.4753,0.36395,0.793,0.4778,0.8924,0.15425,0.4193
pval04,0.94675,0.90445,0.68305,0.9253,0.7052,0.4092,0.7884,0.2262,0.72025,0.3301,0.09195,0.152,0.20025,0.21885,0.6379,0.5603,0.60575,0.18115,0.1886,0.9112,0.3139,0.8082,0.5066,0.42375,0.3255,0.4318,0.0914,0.34155,0.1129,0.45605,0.3849,0.25315,0.3597,0.773,0.89605,0.2943,0.52255,0.9606,0.9448,0.13305,0.6947,0.38555,0.65615,0.2961,0.8176,0.403,0.30525,0.62565,0.6589,0.1926,0.26645,0.1517,0.21855,0.96355,0.345,0.15625,0.9002,0.0751,0.41795,0.04275,0.46435,0.48325,0.17105,0.22295,0.0127,0.7918,0.41375,0.0762,0.1298,0.53515,0.427,0.15365,0.08415,0.1079,0.30845,0.12665,0.07895,0.762,0.6915,0.3692,0.10345,0.62025,0.44555,0.9076,0.3526,0.50235,0.7092,0.633,0.4522,0.2409,0.60285,0.9435,0.0792,0.69985,0.1638,0.5044,0.6616,0.4672,0.2027,0.3174,0.67705,0.63445,0.06775,0.0243,0.26835,0.18155,0.1952,0.47645,0.21905,0.06095,0.73565,0.14955,0.44975,0.59025,0.10055,0.6374,0.30815,0.28305,0.4121,0.9668,0.7184,0.54495,0.4009,0.06195,0.2791,0.0929,0.67575,0.29095,0.2376,0.7532,0.6754,0.14845
pval05,0.7176,0.22035,0.52635,0.95055,0.08545,0.74825,0.4849,0.28045,0.78965,0.05425,0.8583,0.69275,0.54915,0.6539,0.00495,0.94465,0.81635,0.4561,0.3141,0.8228,0.81745,0.81445,0.47955,0.02135,0.63935,0.2496,0.18255,0.84995,0.58595,0.48815,0.56625,0.9998,0.11855,0.0953,0.0442,0.76125,0.8307,0.61025,0.0144,0.21495,0.8192,0.7964,0.0729,0.5951,0.74965,0.8658,0.90175,0.42665,0.37365,0.70145,0.6712,0.3663,0.2132,0.10285,0.08725,0.57605,0.17205,0.3757,0.9684,0.48745,0.74595,0.4747,0.70375,0.9146,0.49945,0.2831,0.1768,0.62645,0.80765,0.7052,0.6359,0.87775,0.7726,0.3411,0.5027,0.6551,0.33005,0.5512,0.15765,0.90255,0.817,0.8445,0.25175,0.56185,0.73435,0.04115,0.06265,0.26935,0.5064,0.9673,0.72275,0.42115,0.22275,0.5521,0.38305,0.6703,0.24935,0.4329,0.08475,0.3518,0.7744,0.5933,0.234,0.96415,0.4208,0.0306,0.3119,0.98245,0.31305,0.1791,0.1849,0.669,0.9511,0.2826,0.9366,0.5866,0.82725,0.30525,0.9626,0.5527,0.235,0.33745,0.08455,0.2062,0.2488,0.33095,0.89105,0.8367,0.76655,0.36645,0.82275,0.7524
pval06,0.3389,0.8198,0.95715,0.34465,0.2244,0.6023,0.93455,0.198,0.75745,0.23915,0.84315,0.96715,0.3264,0.3177,0.885,0.20675,0.2217,0.14435,0.4187,0.71445,0.17165,0.17805,0.26165,0.35895,0.4772,0.557,0.1713,0.67135,0.423,0.3056,0.1659,0.2467,0.03125,0.20075,0.56395,0.6893,0.7064,0.53965,0.7073,0.2514,0.3728,0.14655,0.81715,0.3711,0.2734,0.3586,0.05685,0.76905,0.966,0.383,0.83755,0.7091,0.3445,0.72565,0.44,0.2153,0.0219,0.3174,0.2889,0.6937,0.9623,0.2253,0.30185,0.118,0.92825,0.1575,0.46455,0.8758,0.5655,0.56935,0.08665,0.47205,0.934,0.70215,0.5637,0.42985,0.9368,0.08015,0.0912,0.28975,0.0734,0.75075,0.23095,0.82995,0.66165,0.75995,0.40205,0.2579,0.1484,0.8213,0.6884,0.6835,0.8379,0.8108,0.79715,0.014,0.86845,0.07775,0.4358,0.58365,0.498,0.14765,0.32345,0.20835,0.8745,0.7801,0.5696,0.1253,0.6938,0.47405,0.4654,0.74555,0.41975,0.097,0.89715,0.39485,0.18695,0.67985,0.066,0.15205,0.095,0.62,0.673,0.39355,0.772,0.60795,0.791,0.12345,0.20175,0.34025,0.62285,0.26365
