,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin00costbin06,ebin00costbin07,ebin00costbin08,ebin00costbin09,ebin00costbin10,ebin00costbin11,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin01costbin06,ebin01costbin07,ebin01costbin08,ebin01costbin09,ebin01costbin10,ebin01costbin11,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05,ebin02costbin06,ebin02costbin07,ebin02costbin08,ebin02costbin09,ebin02costbin10,ebin02costbin11,ebin03costbin00,ebin03costbin01,ebin03costbin02,ebin03costbin03,ebin03costbin04,ebin03costbin05,ebin03costbin06,ebin03costbin07,ebin03costbin08,ebin03costbin09,ebin03costbin10,ebin03costbin11,ebin04costbin00,ebin04costbin01,ebin04costbin02,ebin04costbin03,ebin04costbin04,ebin04costbin05,ebin04costbin06,ebin04costbin07,ebin04costbin08,ebin04costbin09,ebin04costbin10,ebin04costbin11,ebin05costbin00,ebin05costbin01,ebin05costbin02,ebin05costbin03,ebin05costbin04,ebin05costbin05,ebin05costbin06,ebin05costbin07,ebin05costbin08,ebin05costbin09,ebin05costbin10,ebin05costbin11,ebin06costbin00,ebin06costbin01,ebin06costbin02,ebin06costbin03,ebin06costbin04,ebin06costbin05,ebin06costbin06,ebin06costbin07,ebin06costbin08,ebin06costbin09,ebin06costbin10,ebin06costbin11,ebin07costbin00,ebin07costbin01,ebin07costbin02,ebin07costbin03,ebin07costbin04,ebin07costbin05,ebin07costbin06,ebin07costbin07,ebin07costbin08,ebin07costbin09,ebin07costbin10,ebin07costbin11,ebin08costbin00,ebin08costbin01,ebin08costbin02,ebin08costbin03,ebin08costbin04,ebin08costbin05,ebin08costbin06,ebin08costbin07,ebin08costbin08,ebin08costbin09,ebin08costbin10,ebin08costbin11,ebin09costbin00,ebin09costbin01,ebin09costbin02,ebin09costbin03,ebin09costbin04,ebin09costbin05,ebin09costbin06,ebin09costbin07,ebin09costbin08,ebin09costbin09,ebin09costbin10,ebin09costbin11,ebin10costbin00,ebin10costbin01,ebin10costbin02,ebin10costbin03,ebin10costbin04,ebin10costbin05,ebin10costbin06,ebin10costbin07,ebin10costbin08,ebin10costbin09,ebin10costbin10,ebin10costbin11
sigma_median,0.088,-0.036,0.26,0.13,0.38,0.75,0.77,0.77,0.67,0.67,0.81,0.71,0.036,-0.12,0.19,0.23,0.36,0.68,0.74,0.74,0.89,0.6,0.58,0.28,-0.46,0.078,0.49,0.53,0.65,0.74,0.62,0.82,0.78,0.44,0.46,0.42,-0.27,0.17,0.22,0.51,0.45,0.86,0.78,0.9,0.72,0.81,0.81,0.38,-0.12,-0.0032,0.37,0.51,0.72,0.73,0.7,0.86,0.69,0.89,0.77,0.13,0.27,0.31,0.66,0.63,0.78,0.54,0.57,0.9,0.71,0.67,0.7,0.63,0.29,0.55,0.51,0.44,0.36,0.41,0.52,0.69,0.77,0.69,0.8,0.18,0.7,0.49,0.45,0.33,0.19,0.31,0.45,0.64,0.78,0.75,0.76,0.42,0.47,0.8,0.37,0.23,0.14,0.12,0.4,0.47,0.55,0.75,0.72,0.6,0.84,0.75,0.73,-0.023,0.042,-0.0036,0.21,0.43,0.56,0.9,0.83,0.57,0.31,0.81,0.47,0.13,-0.086,0.003,0.21,0.56,0.68,0.86,0.85,0.49
mcse,0.004729000000000004,0.004798550000000002,0.0034814999999999985,0.003095500000000001,0.0027500000000000024,0.0024849999999999595,0.002340500000000023,0.0027024999999999966,0.002794999999999992,0.0031685000000000185,0.0025800000000000267,0.004079500000000014,0.0033665999999999974,0.0035340000000000024,0.0026440000000000075,0.0023999999999999994,0.002321500000000004,0.0026740000000000097,0.002219500000000041,0.0021019999999999928,0.0016329999999999956,0.0021174999999999944,0.0027205000000000146,0.003261999999999987,0.002849500000000005,0.0029850000000000015,0.0020515000000000116,0.0018834999999999824,0.0019159999999999733,0.002102500000000007,0.0015585000000000182,0.0018445000000000267,0.0016599999999999948,0.0017860000000000098,0.0018459999999999865,0.002176499999999998,0.002364000000000005,0.002264000000000002,0.0017625000000000002,0.0016525000000000012,0.0014979999999999993,0.001657500000000034,0.001578999999999997,0.0012490000000000001,0.0014655000000000085,0.0016770000000000396,0.0017524999999999902,0.0020680000000000143,0.002346000000000001,0.0022023,0.0017199999999999993,0.001890999999999976,0.0016714999999999924,0.0014274999999999705,0.0015080000000000093,0.001427500000000026,0.0012225000000000152,0.0013545000000000362,0.0015330000000000066,0.0017479999999999996,0.002940499999999985,0.0024945000000000106,0.0017805000000000182,0.0017739999999999978,0.0018770000000000175,0.0012820000000000054,0.0013495000000000035,0.0011984999999999912,0.0012650000000000161,0.001303500000000013,0.0012479999999999714,0.001711000000000018,0.00317400000000001,0.002377000000000018,0.0022444999999999826,0.0013785000000000047,0.0017240000000000033,0.0013054999999999872,0.0012840000000000074,0.0010094999999999965,0.0010910000000000086,0.0009309999999999596,0.0012860000000000094,0.0012004999999999932,0.002432500000000004,0.0019460000000000033,0.0019279999999999853,0.0015449999999999908,0.0011385000000000006,0.0011404999999999887,0.0010145000000000015,0.0011154999999999915,0.0011065000000000103,0.0009994999999999865,0.0008869999999999711,0.0010440000000000171,0.002281499999999992,0.0017480000000000273,0.0014149999999999996,0.001294500000000004,0.0013260000000000077,0.0008589999999999987,0.0009070000000000189,0.0007870000000000099,0.0009590000000000432,0.0009000000000000119,0.0006975000000000176,0.0008559999999999679,0.0023090000000000055,0.0024434999999999873,0.002473000000000003,0.0020237,0.0019074500000000015,0.0014909949999999997,0.0013625000000000026,0.0013520000000000199,0.001661500000000038,0.0012800000000000034,0.0015149999999999886,0.001295500000000005,0.002510499999999999,0.0020655000000000534,0.0016434999999999922,0.0017615000000000061,0.0017957499999999987,0.0015002000000000001,0.0013385000000000064,0.0015370000000000106,0.0017820000000000058,0.0011844999999999772,0.0011865000000000347,0.0013769999999999893
rhat,1.0003570297620823,1.0005827909288725,1.0002926764967113,1.0001080641566915,1.0003399532168635,1.0007601426014323,1.0000961107887538,1.000839884699865,1.0004821063594382,1.0009100658619967,1.0009248418092171,1.0008698992496436,1.000593298720651,1.0003595594805983,1.0004666233525696,1.000162782877732,1.0002184973909276,1.0002842563042897,1.0011601617437245,1.0013333786036602,1.000803641768221,1.0001907259375373,1.0016470195769158,1.000848538774074,1.0015516948172147,1.000938492097058,1.000051970252951,1.0003549537078043,1.0007775905275904,1.0006471538929809,1.0004073661313682,1.000805701673495,1.0011753362508575,1.0005546726919858,1.0006776373634292,1.0005857316943472,1.0004403298751738,1.0003578220424685,1.000386518282401,1.0011524884098777,1.0003441146253558,1.0005103886636217,1.0005289898416863,1.0011799223527855,1.000613514442327,1.0017747108547466,1.0010831000767249,1.0003134241619962,1.000315669303575,1.000591529298433,1.0004184199949098,1.000496628301457,1.0008641967232053,1.0002209723462143,1.0007447114134913,1.0007370393684225,1.0000848725665725,1.0006334059803317,1.0001451775226902,1.0007929542137557,1.0002625122490276,1.0003927064536426,1.0009662827133183,1.00056469228243,1.0004173615508911,1.0002286541168597,1.0009185064620458,1.0008264045814588,1.0005923376884482,1.0009157283428693,1.0010567285692107,1.0012784579230223,1.0004910900442443,1.001381402522596,1.0005055586687637,1.0000916560023827,1.000106883171262,1.0001763071028547,1.000640167109504,1.0001224867772773,1.0000977264402613,1.0009200116632562,1.000514967025716,1.0004590805342104,1.0005023682055734,1.00073003474481,1.00016458896893,1.000486765500425,1.0001331235477233,1.0004962618478266,1.0001691651578355,1.0005321032871135,1.0001549669341212,1.0007611833731058,1.0010875737898428,1.0002627062328562,1.0004606264796172,1.001343021974801,1.000006729762351,1.0003393640443197,1.0001887085116392,1.0005034802969888,1.00022001892501,1.001791166631701,1.0007545643608968,1.0004884230158713,1.0006683678760668,1.0000863370726705,1.0011442908716461,1.0010914069229444,1.0008270596598503,1.0003649556951721,1.0002144948826082,1.0004829466118246,1.000350372308062,1.000718176330524,1.0007637925577324,1.0008582563354274,1.0005733571416633,1.000856912572345,1.0000343182788827,1.0011470407708485,1.000390231726103,1.0001431476832723,1.0004016984810475,1.0001889052229578,1.000522919870402,1.000720443126742,1.0002868917422536,1.0007033920516908,1.000134950072541,1.0009567071596979
pval00,0.60225,0.8772,0.0013,0.8306,0.93845,0.26225,0.3528,0.3541,0.21245,0.6966,0.8591,0.5124,0.52345,0.03405,0.4246,0.3037,0.5536,0.16455,0.4602,0.22675,0.8001,0.49905,0.7884,0.72875,0.58615,0.7643,0.30455,0.6209,0.24955,0.6778,0.16765,0.3171,0.3005,0.49715,0.88735,0.47615,0.3213,0.246,0.2513,0.313,0.39455,0.8369,0.3989,0.24085,0.94715,0.24385,0.47265,0.03215,0.0745,0.21085,0.30795,0.20015,0.0504,0.3392,0.0581,0.1746,0.91705,0.9752,0.65925,0.41865,0.1196,0.9711,0.74715,0.56815,0.11565,0.0276,0.4164,0.10575,0.54415,0.88245,0.3079,0.5197,0.3075,0.31195,0.5376,0.03365,0.49245,0.2739,0.577,0.3526,0.3145,0.8022,0.52655,0.595,0.49895,0.02655,0.84225,0.3837,0.562,0.61355,0.45395,0.0591,0.34605,0.2923,0.84315,0.663,0.11965,0.6181,0.70355,0.4882,0.69555,0.4512,0.50075,0.81075,0.9068,0.103,0.58045,0.9776,0.3555,0.8978,0.69555,0.35045,0.35075,0.3691,0.4486,0.9063,0.2379,0.64485,0.67535,0.61565,0.61125,0.19985,0.7793,0.1764,0.533,0.3673,0.0345,0.365,0.98365,0.42025,0.79255,0.5188
pval01,0.84975,0.787,0.3871,0.4588,0.7474,0.6911,0.53585,0.57595,0.9623,0.27785,0.57495,0.3786,0.26565,0.03775,0.17005,0.5222,0.2474,0.7689,0.3687,0.92245,0.0772,0.5446,0.0738,0.5944,0.2777,0.34625,0.2892,0.3037,0.5881,0.56525,0.9277,0.64055,0.8644,0.47665,0.32895,0.22065,0.37175,0.60445,0.7,0.0641,0.86165,0.06045,0.619,0.5952,0.5545,0.5234,0.49995,0.242,0.5062,0.71985,0.52685,0.83115,0.52415,0.6973,0.52555,0.46415,0.79955,0.73675,0.48115,0.10295,0.6944,0.4294,0.25505,0.5242,0.407,0.86615,0.7971,0.3297,0.01065,0.7429,0.99395,0.18965,0.0957,0.3303,0.1314,0.3368,0.3504,0.65765,0.5657,0.99675,0.137,0.45005,0.6375,0.13825,0.689,0.78185,0.9556,0.49525,0.7943,0.08305,0.6178,0.5177,0.1904,0.60195,0.05355,0.7447,0.2807,0.83025,0.1255,0.76605,0.91,0.7815,0.55215,0.81965,0.34355,0.7271,0.3808,0.59685,0.5493,0.30175,0.01385,0.72995,0.5859,0.60355,0.46665,0.46205,0.87985,0.6341,0.1986,0.2676,0.8586,0.5256,0.60335,0.78985,0.6695,0.3926,0.27045,0.48555,0.32935,0.9791,0.60005,0.28555
pval02,0.56235,0.3231,0.7846,0.0642,0.4807,0.29425,0.4497,0.40465,0.11455,0.35575,0.69015,0.34455,0.61335,0.8891,0.4378,0.6005,0.2665,0.4084,0.11865,0.104,0.423,0.5211,0.114,0.33605,0.5685,0.7933,0.786,0.0189,0.74205,0.28685,0.7644,0.48075,0.3177,0.5959,0.6329,0.24875,0.3946,0.37645,0.6288,0.7063,0.31085,0.7107,0.5668,0.6647,0.0433,0.4897,0.184,0.2739,0.30785,0.1398,0.36815,0.6583,0.66705,0.7962,0.66535,0.5064,0.9824,0.8431,0.21675,0.8468,0.39735,0.862,0.87135,0.40085,0.24815,0.05035,0.5904,0.5329,0.89205,0.75665,0.38755,0.76275,0.66435,0.28265,0.96875,0.57385,0.0065,0.8695,0.7551,0.24635,0.16715,0.3457,0.1825,0.65025,0.45175,0.41425,0.68075,0.9694,0.59085,0.83745,0.5845,0.81635,0.0929,0.5661,0.1018,0.6017,0.4339,0.3814,0.95635,0.1925,0.432,0.07565,0.7177,0.5293,0.77935,0.75795,0.79895,0.9619,0.34045,0.89395,0.832,0.19555,0.62365,0.9801,0.0395,0.24335,0.90085,0.0254,0.82285,0.48825,0.38805,0.36785,0.12345,0.68415,0.6719,0.81385,0.86855,0.25185,0.54205,0.11785,0.5347,0.8545
pval03,0.70895,0.46245,0.0323,0.5748,0.57735,0.23955,0.72595,0.0603,0.6026,0.7357,0.29835,0.61755,0.63045,0.75005,0.98425,0.91615,0.8341,0.8703,0.38155,0.8121,0.0379,0.5003,0.9327,0.2791,0.0411,0.9183,0.6932,0.8542,0.9889,0.94285,0.0881,0.75595,0.6849,0.2411,0.8608,0.79375,0.4813,0.0074,0.35225,0.8714,0.4259,0.2791,0.40915,0.2295,0.2022,0.4287,0.94095,0.41205,0.2255,0.3772,0.47315,0.43835,0.73715,0.9229,0.8209,0.4785,0.1872,0.5214,0.1964,0.7362,0.5878,0.22605,0.0623,0.79475,0.7625,0.6864,0.38955,0.8842,0.90165,0.5274,0.73605,0.69935,0.96045,0.6774,0.3922,0.731,0.96095,0.88355,0.43075,0.07825,0.3598,0.51325,0.7052,0.05735,0.50765,0.97345,0.76655,0.69035,0.7128,0.5129,0.65645,0.1086,0.32235,0.2002,0.8601,0.5501,0.71335,0.26385,0.8836,0.7747,0.17245,0.75485,0.3817,0.2501,0.0097,0.8597,0.84015,0.16465,0.65165,0.30065,0.8737,0.9616,0.13055,0.13315,0.41055,0.9419,0.74135,0.7977,0.56815,0.96235,0.85575,0.91315,0.5905,0.6359,0.82825,0.46125,0.35945,0.81155,0.47565,0.91865,0.1408,0.41175
pval04,0.9586,0.921,0.6965,0.94015,0.71935,0.4133,0.80625,0.21885,0.74055,0.31565,0.07485,0.13565,0.18,0.1963,0.6508,0.55075,0.61825,0.1716,0.17235,0.9305,0.3093,0.83015,0.51425,0.4234,0.3144,0.4228,0.07595,0.3325,0.102,0.45355,0.3749,0.24375,0.35485,0.7953,0.91805,0.27225,0.5291,0.97375,0.95555,0.1137,0.70615,0.38685,0.6736,0.2833,0.8405,0.39925,0.2976,0.6444,0.6757,0.1796,0.24335,0.1281,0.19995,0.97635,0.3385,0.13755,0.91755,0.06505,0.4267,0.02955,0.46195,0.4791,0.1555,0.20745,0.0088,0.8086,0.4062,0.0632,0.11045,0.54455,0.4279,0.1378,0.06855,0.0949,0.29105,0.11085,0.05595,0.77845,0.7048,0.3502,0.0876,0.6356,0.4389,0.9235,0.3499,0.5178,0.72975,0.64565,0.4512,0.21725,0.611,0.95825,0.06075,0.7107,0.1368,0.4951,0.68015,0.4665,0.18365,0.29105,0.68055,0.6437,0.0556,0.0169,0.25725,0.1652,0.17855,0.46985,0.2084,0.0536,0.75855,0.1369,0.44255,0.5874,0.08265,0.6483,0.2987,0.286,0.3967,0.97945,0.7337,0.5512,0.39015,0.0475,0.2653,0.07035,0.68825,0.2748,0.2168,0.78135,0.69735,0.1265
pval05,0.72805,0.20055,0.5385,0.96415,0.06405,0.77355,0.48635,0.2715,0.8171,0.04155,0.8777,0.7166,0.55245,0.66915,0.0026,0.96335,0.8418,0.4453,0.30045,0.84255,0.833,0.835,0.48385,0.015,0.65205,0.22665,0.16145,0.87405,0.5962,0.48575,0.57855,0.99985,0.09955,0.0745,0.03085,0.7828,0.85465,0.618,0.00885,0.19535,0.84205,0.81885,0.0513,0.6018,0.77025,0.8839,0.9201,0.42025,0.36735,0.7155,0.68395,0.3579,0.1885,0.0819,0.07125,0.5877,0.1565,0.3663,0.97755,0.4947,0.77045,0.47485,0.72325,0.92975,0.50085,0.2637,0.16065,0.6457,0.82305,0.7308,0.64645,0.8952,0.7905,0.3396,0.5078,0.68555,0.3179,0.5491,0.13495,0.91735,0.8376,0.8642,0.2319,0.5692,0.76555,0.031,0.04805,0.25505,0.5003,0.9766,0.74265,0.42395,0.19705,0.55445,0.36665,0.68125,0.2354,0.42685,0.06905,0.33855,0.7898,0.604,0.2184,0.9744,0.41565,0.0224,0.3109,0.9894,0.29615,0.15905,0.1637,0.6843,0.9639,0.26265,0.9533,0.598,0.83915,0.3037,0.9706,0.56265,0.2066,0.3301,0.06895,0.1903,0.2389,0.32185,0.90975,0.85365,0.7802,0.3534,0.8519,0.76315
pval06,0.3194,0.84665,0.96805,0.32985,0.19625,0.60215,0.94975,0.1669,0.77715,0.2096,0.86085,0.97635,0.3101,0.2986,0.90625,0.18895,0.19885,0.12545,0.41415,0.722,0.1489,0.16045,0.24385,0.34405,0.4746,0.57115,0.14685,0.6861,0.4181,0.28535,0.14095,0.2235,0.02115,0.18285,0.5703,0.6997,0.7287,0.54785,0.72435,0.232,0.3569,0.12735,0.8337,0.3558,0.2478,0.3424,0.04065,0.7843,0.9778,0.3694,0.8601,0.72945,0.32415,0.746,0.4268,0.1914,0.0142,0.2989,0.2612,0.7127,0.9724,0.2063,0.28515,0.0967,0.9465,0.13845,0.44945,0.8896,0.5715,0.56925,0.06845,0.46875,0.94935,0.71175,0.5596,0.42635,0.9571,0.06115,0.073,0.2758,0.05375,0.7648,0.20965,0.85215,0.6677,0.77165,0.38935,0.22955,0.122,0.8427,0.7,0.6922,0.85755,0.83015,0.81995,0.00795,0.8828,0.0604,0.4326,0.60265,0.5086,0.1234,0.2975,0.18785,0.89115,0.7991,0.5661,0.1072,0.7042,0.47615,0.46535,0.76435,0.41955,0.08425,0.91285,0.3735,0.17175,0.68285,0.052,0.13715,0.07955,0.6213,0.69,0.3882,0.7918,0.62065,0.8061,0.09965,0.18105,0.3279,0.6297,0.2493
