nbins	chi2	abserror	abserror_err	sigma_std	mean_sigma_err
10	1.0084	-0.136507	0.010649	0.122244	0.115216
15	1.02376	-0.0308957	0.0105171	0.122261	0.117101
20	1.03174	0.0213567	0.0104991	0.123627	0.117948
25	1.04122	0.054458	0.0105567	0.124092	0.118362
30	1.05162	0.0742393	0.0106599	0.12539	0.118563
35	1.06185	0.0992206	0.010729	0.126795	0.118641
40	1.07382	0.121013	0.0107774	0.127437	0.118656
45	1.08292	0.142545	0.0109111	0.128384	0.118601
50	1.09755	0.163131	0.0110034	0.129447	0.118522
55	1.10881	0.183501	0.0111327	0.130632	0.118405
60	1.12255	0.202614	0.0112531	0.13192	0.118277
65	1.13647	0.224113	0.0113368	0.133516	0.118119
70	1.14963	0.248897	0.0115063	0.134827	0.117949
75	1.16446	0.267921	0.0116801	0.136173	0.11777
80	1.18298	0.297917	0.01183	0.13829	0.117567
85	1.19533	0.317016	0.0119517	0.139268	0.11737
90	1.21142	0.347007	0.0121122	0.141009	0.117156
95	1.22791	0.372405	0.0122549	0.142536	0.116932
100	1.2446	0.396327	0.0124441	0.144507	0.116706
