nbins	chi2	abserror	abserror_err	sigma_std	mean_sigma_err
5	1.05444	-0.202124	0.0111604	0.243888	0.2216
10	1.083	-0.158481	0.00798817	0.246926	0.222727
15	1.11627	-0.118344	0.00664567	0.251431	0.223102
20	1.15156	-0.0844199	0.0059149	0.256196	0.223064
25	1.18242	-0.0552577	0.00541891	0.260522	0.222819
30	1.20775	-0.0317296	0.00504825	0.264398	0.222479
35	1.22595	-0.0132743	0.00475619	0.267618	0.222129
40	1.23725	-0.00183375	0.00450441	0.270034	0.221817
45	1.24292	0.00445445	0.00428179	0.271767	0.221562
50	1.24261	0.00476634	0.00408519	0.273081	0.221401
55	1.23815	0.00145395	0.0039061	0.274028	0.221338
60	1.22995	-0.00469021	0.00374328	0.27471	0.221372
65	1.219	-0.0136043	0.00359469	0.274986	0.221497
70	1.20612	-0.0250956	0.00346008	0.27531	0.221704
75	1.19183	-0.0378968	0.00333611	0.275402	0.221993
80	1.17622	-0.0519855	0.00322159	0.275411	0.222356
85	1.15982	-0.0663294	0.0031142	0.275186	0.222791
90	1.14281	-0.0818307	0.00301558	0.275083	0.223285
95	1.12547	-0.0975754	0.00292383	0.274951	0.223834
100	1.12547	-0.0956132	0.00286375	0.276368	0.223834
