nbins	chi2	abserror	abserror_err	sigma_std	mean_sigma_err
10	0.995695	-0.367146	0.0106116	0.05456	0.0516086
15	0.996498	-0.258923	0.00749344	0.0549172	0.0520666
20	0.998864	-0.196887	0.00608754	0.0549586	0.0523682
25	1.0007	-0.155494	0.00525229	0.0549755	0.0525832
30	1.00242	-0.126078	0.00468892	0.0550147	0.0527452
35	1.00365	-0.103412	0.00426972	0.0550139	0.052872
40	1.00471	-0.0852556	0.00394752	0.0550386	0.0529742
45	1.00607	-0.0703032	0.00368891	0.0550653	0.053058
50	1.00748	-0.0577178	0.00347369	0.0550774	0.053128
55	1.00857	-0.0464848	0.00329231	0.0550941	0.0531872
60	1.00963	-0.0365338	0.00313698	0.0551145	0.0532377
65	1.0105	-0.0275974	0.0030027	0.0551474	0.0532812
70	1.01136	-0.0194159	0.00288399	0.0551738	0.0533191
75	1.01228	-0.0118567	0.00277827	0.0551988	0.0533521
80	1.01329	-0.0049936	0.00268385	0.0552296	0.053381
85	1.01425	0.00153813	0.00259824	0.0552571	0.0534065
90	1.01523	0.00775055	0.00252085	0.0552884	0.0534289
95	1.01617	0.0136192	0.00244994	0.0553228	0.0534488
100	1.01713	0.0193073	0.00238496	0.0553562	0.0534663
