pol	setting	phi
0.3	45	-5.41953
0.3	45	-177.572
0.3	45	-106.026
0.3	45	-151.95
0.3	45	-42.1563
0.3	45	-82.56
0.3	45	-52.0532
0.3	45	31.1829
0.3	45	117.379
0.3	45	111.826
0.3	45	-106.618
0.3	45	-146.829
0.3	45	-130.512
0.3	45	-38.6571
0.3	45	130.738
0.3	45	90.8618
0.3	45	36.0019
0.3	45	119.844
0.3	45	-123.085
0.3	45	-18.2783
0.3	45	-165.564
0.3	45	-66.3627
0.3	45	130.081
0.3	45	-43.5077
0.3	45	18.965
0.3	45	-89.4196
0.3	45	-30.7365
0.3	45	-55.1607
0.3	45	-86.5139
0.3	45	147.954
0.3	45	7.73571
0.3	45	177.703
0.3	45	115.292
0.3	45	11.0972
0.3	45	53.4792
0.3	45	32.5108
0.3	45	161.372
0.3	45	-46.5923
0.3	45	-80.5126
0.3	45	-56.1262
0.3	45	110.294
0.3	45	89.7205
0.3	45	-108.558
0.3	45	-133.376
0.3	45	112.88
0.3	45	-38.9669
0.3	45	124.043
0.3	45	-135.695
0.3	45	-146.771
0.3	45	-124.384
0.3	45	-164.587
0.3	45	-105.563
0.3	45	89.9593
0.3	45	-120.764
0.3	45	-95.1161
0.3	45	51.7513
0.3	45	162.97
0.3	45	-73.4559
0.3	45	-53.316
0.3	45	109.742
0.3	45	127.325
0.3	45	127.478
0.3	45	-83.5718
0.3	45	-95.2077
0.3	45	1.87342
0.3	45	-44.5561
0.3	45	-126.566
0.3	45	-171.492
0.3	45	-18.1916
0.3	45	-41.2559
0.3	45	-3.36464
0.3	45	-31.2764
0.3	45	124.707
0.3	45	169.424
0.3	45	-2.15057
0.3	45	-39.7385
0.3	45	-21.1979
0.3	45	87.0835
0.3	45	72.2011
0.3	45	38.7293
0.3	45	107.692
0.3	45	169.204
0.3	45	84.9089
0.3	45	-19.0844
0.3	45	55.094
0.3	45	-63.0834
0.3	45	-58.1763
0.3	45	6.96996
0.3	45	-125.023
0.3	45	19.3906
0.3	45	-165.187
0.3	45	-160.75
0.3	45	-6.65532
0.3	45	-98.5726
0.3	45	-83.4472
0.3	45	14.3697
0.3	45	-63.8047
0.3	45	-140.217
0.3	45	63.6337
0.3	45	-12.1704
0.3	45	-67.1053
0.3	45	-140.53
0.3	45	177.395
0.3	45	-32.8333
0.3	45	-75.2694
0.3	45	-40.8759
0.3	45	-30.2365
0.3	45	121.139
0.3	45	177.877
0.3	45	87.4307
0.3	45	-155.468
0.3	45	114.748
0.3	45	-65.091
0.3	45	-30.0113
0.3	45	-169.214
0.3	45	-114.443
0.3	45	125.2
0.3	45	106.899
0.3	45	96.5554
0.3	45	32.3252
0.3	45	159.861
0.3	45	91.2112
0.3	45	-12.1556
0.3	45	-81.2738
0.3	45	-36.5935
0.3	45	-106.147
0.3	45	19.4186
0.3	45	88.3979
0.3	45	123.441
0.3	45	-88.6097
0.3	45	83.6763
0.3	45	173.714
0.3	45	164.772
0.3	45	-84.7989
0.3	45	-11.6885
0.3	45	-34.6955
0.3	45	156.632
0.3	45	-139.483
0.3	45	-94.6698
0.3	45	-150.767
0.3	45	-101.128
0.3	45	-23.8764
0.3	45	42.1652
0.3	45	64.5178
0.3	45	132.683
0.3	45	96.1715
0.3	45	-150.177
0.3	45	4.45817
0.3	45	-128.473
0.3	45	7.12701
0.3	45	138.746
0.3	45	167.006
0.3	45	-33.007
0.3	45	100.129
0.3	45	-85.2682
0.3	45	-112.859
0.3	45	143.124
0.3	45	-16.1007
0.3	45	130.744
0.3	45	-78.2289
0.3	45	-68.3929
0.3	45	-82.174
0.3	45	-19.422
0.3	45	-46.1897
0.3	45	-67.6908
0.3	45	-11.1435
0.3	45	-26.603
0.3	45	-31.0787
0.3	45	15.9575
0.3	45	-14.9741
0.3	45	175.095
0.3	45	-37.5958
0.3	45	43.7094
0.3	45	-20.7155
0.3	45	-71.1799
0.3	45	-45.8654
0.3	45	1.16493
0.3	45	-102.494
0.3	45	-137.183
0.3	45	-60.9092
0.3	45	52.5417
0.3	45	146.357
0.3	45	-56.6474
0.3	45	-82.3422
0.3	45	5.07222
0.3	45	-53.7114
0.3	45	-49.2069
0.3	45	93.3199
0.3	45	-2.67784
0.3	45	110.22
0.3	45	-142.99
0.3	45	93.9228
0.3	45	38.1473
0.3	45	11.9481
0.3	45	7.70122
0.3	45	122.641
0.3	45	-101.912
0.3	45	108.432
0.3	45	-2.89763
0.3	45	-130.483
0.3	45	-16.6232
0.3	45	12.7701
0.3	45	120.086
0.3	45	-22.0268
0.3	45	-153.357
0.3	45	17.4888
0.3	45	97.5005
0.3	45	-12.2598
0.3	45	-80.7887
0.3	45	19.2708
0.3	45	-36.381
0.3	45	106.46
0.3	45	-121.037
0.3	45	-25.2682
0.3	45	81.1297
0.3	45	115.76
0.3	45	95.8267
0.3	45	-89.5217
0.3	45	-72.0072
0.3	45	-149.057
0.3	45	23.6676
0.3	45	-87.0114
0.3	45	46.4617
0.3	45	-177.37
0.3	45	130.875
0.3	45	-20.3621
0.3	45	-94.6783
0.3	45	-60.8612
0.3	45	40.8884
0.3	45	-148.878
0.3	45	3.05454
0.3	45	81.7981
0.3	45	28.8358
0.3	45	-61.7763
0.3	45	99.5076
0.3	45	-54.3935
0.3	45	-36.0515
0.3	45	162.561
0.3	45	136.186
0.3	45	-127.773
0.3	45	-118.172
0.3	45	27.3532
0.3	45	-18.7804
0.3	45	136.592
0.3	45	110.484
0.3	45	27.8497
0.3	45	-123.02
0.3	45	-151.17
0.3	45	30.9587
0.3	45	-123.671
0.3	45	-128.315
0.3	45	145.102
0.3	45	14.5461
0.3	45	10.0113
0.3	45	-132.572
0.3	45	-150.34
0.3	45	56.6859
0.3	45	-60.7253
0.3	45	-36.8
0.3	45	-125.4
0.3	45	-92.9098
0.3	45	-15.4212
0.3	45	177.038
0.3	45	36.8798
0.3	45	-156.883
0.3	45	-85.8496
0.3	45	80.557
0.3	45	43.0091
0.3	45	32.7326
0.3	45	-37.1625
0.3	45	23.9192
0.3	45	-161.797
0.3	45	149.261
0.3	45	-51.4186
0.3	45	38.2259
0.3	45	36.7003
0.3	45	-148.521
0.3	45	-114.45
0.3	45	-96.5425
0.3	45	140.218
0.3	45	-45.0973
0.3	45	144.006
0.3	45	-72.3967
0.3	45	163.861
0.3	45	-104.655
0.3	45	-126.354
0.3	45	-155.012
0.3	45	-10.6814
0.3	45	132.733
0.3	45	119.742
0.3	45	-80.8366
0.3	45	16.9594
0.3	45	150.282
0.3	45	-34.6043
0.3	45	18.2643
0.3	45	34.7452
0.3	45	-26.7186
0.3	45	152.633
0.3	45	-84.9788
0.3	45	-127.612
0.3	45	-98.4545
0.3	45	-161.682
0.3	45	12.442
0.3	45	122.494
0.3	45	-116.447
0.3	45	-142.171
0.3	45	17.093
0.3	45	-0.174067
0.3	45	-150.454
0.3	45	-4.46105
0.3	45	77.0126
0.3	45	-117.687
0.3	45	-146.686
0.3	45	16.1165
0.3	45	-160.687
0.3	45	10.1382
0.3	45	-25.5466
0.3	45	103.251
0.3	45	-21.7111
0.3	45	-70.3544
0.3	45	25.7788
0.3	45	-52.4838
0.3	45	-108.978
0.3	45	170.668
0.3	45	-21.821
0.3	45	150.92
0.3	45	149.678
0.3	45	-117.965
0.3	45	147.572
0.3	45	30.9146
0.3	45	-154.289
0.3	45	92.907
0.3	45	-96.659
0.3	45	-82.4824
0.3	45	-52.4655
0.3	45	20.4903
0.3	45	72.7472
0.3	45	6.2806
0.3	45	94.0259
0.3	45	-47.3057
0.3	45	32.6276
0.3	45	-108.532
0.3	45	88.3366
0.3	45	-55.1738
0.3	45	80.5963
0.3	45	-92.1286
0.3	45	58.4788
0.3	45	-173.465
0.3	45	106.792
0.3	45	-173.342
0.3	45	101.453
0.3	45	-105.093
0.3	45	-40.6884
0.3	45	44.7234
0.3	45	-129.589
0.3	45	10.6211
0.3	45	176.106
0.3	45	-38.2142
0.3	45	17.7616
0.3	45	176.923
0.3	45	120.665
0.3	45	140.073
0.3	45	-45.2339
0.3	45	36.7261
0.3	45	-157.133
0.3	45	101.419
0.3	45	-67.32
0.3	45	32.3991
0.3	45	-51.2304
0.3	45	-169.56
0.3	45	-52.8969
0.3	45	-164.428
0.3	45	-13.4836
0.3	45	178.464
0.3	45	77.27
0.3	45	-73.8319
0.3	45	-46.2422
0.3	45	-108.256
0.3	45	-78.5899
0.3	45	112.132
0.3	45	-101.822
0.3	45	87.9754
0.3	45	74.6464
0.3	45	-113.83
0.3	45	88.4341
0.3	45	126.198
0.3	45	-66.908
0.3	45	-124.477
0.3	45	-98.0994
0.3	45	88.2823
0.3	45	-51.3222
0.3	45	-42.257
0.3	45	0.747062
0.3	45	3.02068
0.3	45	179.288
0.3	45	44.3049
0.3	45	-16.1395
0.3	45	81.1671
0.3	45	56.2815
0.3	45	139.815
0.3	45	176.638
0.3	45	43.0497
0.3	45	65.9447
0.3	45	-123.811
0.3	45	156.475
0.3	45	30.9283
0.3	45	-134.98
0.3	45	-6.38495
0.3	45	158.078
0.3	45	125.584
0.3	45	122.114
0.3	45	129.612
0.3	45	147.228
0.3	45	-80.1108
0.3	45	-118.002
0.3	45	-13.5521
0.3	45	-21.5756
0.3	45	169.162
0.3	45	-37.1497
0.3	45	123.823
0.3	45	-35.4906
0.3	45	-108.477
0.3	45	-46.3367
0.3	45	112.938
0.3	45	-150.716
0.3	45	-130.422
0.3	45	-31.912
0.3	45	164.052
0.3	45	77.4484
0.3	45	-22.6047
0.3	45	166.755
0.3	45	151.216
0.3	45	-76.0757
0.3	45	-151.917
0.3	45	121.423
0.3	45	-157.104
0.3	45	-161.247
0.3	45	-12.0921
0.3	45	-132.312
0.3	45	-92.188
0.3	45	75.1094
0.3	45	-63.6694
0.3	45	84.5314
0.3	45	43.5043
0.3	45	66.4463
0.3	45	59.3363
0.3	45	115.382
0.3	45	95.9685
0.3	45	167.943
0.3	45	-111.971
0.3	45	-63.5528
0.3	45	-160.198
0.3	45	-9.16508
0.3	45	30.4013
0.3	45	-63.9453
0.3	45	-84.0209
0.3	45	158.423
0.3	45	-29.7454
0.3	45	-48.4126
0.3	45	41.398
0.3	45	-122.585
0.3	45	-154.93
