	toybin0000ytilde00	toybin0000ytilde01	toybin0000ytilde02	toybin0000ytilde03	toybin0000ytilde04	toybin0000ytilde05	toybin0000ytilde06	toybin0000ytilde07	toybin0000ytilde08	toybin0000ytilde09	toybin0000ytilde10	toybin0000ytilde11	toybin0001ytilde00	toybin0001ytilde01	toybin0001ytilde02	toybin0001ytilde03	toybin0001ytilde04	toybin0001ytilde05	toybin0001ytilde06	toybin0001ytilde07	toybin0001ytilde08	toybin0001ytilde09	toybin0001ytilde10	toybin0001ytilde11	toybin0002ytilde00	toybin0002ytilde01	toybin0002ytilde02	toybin0002ytilde03	toybin0002ytilde04	toybin0002ytilde05	toybin0002ytilde06	toybin0002ytilde07	toybin0002ytilde08	toybin0002ytilde09	toybin0002ytilde10	toybin0002ytilde11	toybin0003ytilde00	toybin0003ytilde01	toybin0003ytilde02	toybin0003ytilde03	toybin0003ytilde04	toybin0003ytilde05	toybin0003ytilde06	toybin0003ytilde07	toybin0003ytilde08	toybin0003ytilde09	toybin0003ytilde10	toybin0003ytilde11	toybin0004ytilde00	toybin0004ytilde01	toybin0004ytilde02	toybin0004ytilde03	toybin0004ytilde04	toybin0004ytilde05	toybin0004ytilde06	toybin0004ytilde07	toybin0004ytilde08	toybin0004ytilde09	toybin0004ytilde10	toybin0004ytilde11	toybin0005ytilde00	toybin0005ytilde01	toybin0005ytilde02	toybin0005ytilde03	toybin0005ytilde04	toybin0005ytilde05	toybin0005ytilde06	toybin0005ytilde07	toybin0005ytilde08	toybin0005ytilde09	toybin0005ytilde10	toybin0005ytilde11
0	0.0517298	-0.324627	-0.371595	-0.0154943	0.28918	0.0305626	0.125113	-0.4998	0.124284	0.0614393	-0.0386082	-0.142622	0.158552	0.15444	-0.390879	-0.0552757	-0.307208	0.359061	-0.0498532	-0.0552096	0.0679699	0.00103705	0.221032	-0.000150318	-0.358043	-0.552424	-0.0656342	-0.0285038	0.285153	0.402143	-0.0619529	-0.229442	-0.268482	-0.116501	0.175267	0.404926	-0.00947096	-0.250998	-0.653374	-0.10876	-0.0783544	0.243865	0.150071	-0.0924647	-0.21383	-0.175626	0.468549	0.514128	-0.364089	-0.552844	-0.627051	0.519725	0.502321	0.34527	-0.33515	-0.893389	0.103253	0.392934	0.580838	0.475714	-0.529106	-0.326882	-0.0967379	-0.203078	0.823622	0.0419495	-0.146958	-0.724619	-0.342323	0.237919	0.56756	0.0335048
1	-0.0697701	-0.253088	-0.240877	0.479007	0.133361	0.143365	-0.584645	-0.581955	-0.0421827	0.270365	0.902909	0.496976	0.21014	-0.112139	-0.314833	0.78189	0.274039	0.459772	-0.262317	-0.464955	0.203151	0.436884	0.0506428	0.271851	-0.438589	-0.150886	-0.527651	0.0568382	0.320437	-0.0524009	-0.681683	-0.300778	-0.255501	0.325761	0.529271	-0.198183	-0.474618	0.100153	-0.199261	0.427941	0.359617	-0.0500915	-0.109856	-0.0436832	-0.296109	0.154785	0.184641	0.366802	-0.565748	-0.445087	0.0637299	0.183035	0.269643	0.610557	0.0330467	-1.05693	-0.531089	0.525234	0.390569	0.577967	-0.436648	-0.571882	0.363882	-0.0517292	0.485762	0.490599	-0.876859	-0.242484	-0.00727275	0.467749	0.604258	0.764415
2	-0.520577	-0.531197	-0.455148	0.500166	0.529562	-0.281974	0.591761	-0.455742	-0.532994	0.180744	0.618551	0.229012	-0.20341	-0.256304	0.367099	-0.219731	0.294401	-0.171126	0.391067	0.0113621	-0.012254	-0.316624	0.524902	0.0687997	0.170105	-0.109433	0.0425421	0.380603	1.20062	0.645362	-0.33013	-0.540819	-0.300303	-0.0362608	0.492505	-0.0658233	0.269385	-0.453419	-0.438121	0.0148527	0.287491	-0.112721	-0.315807	0.0543221	-0.0418043	0.126437	0.448873	0.136412	-0.464333	-0.626373	-0.0209996	0.110333	0.946592	0.113954	-0.168334	-0.1245	0.351931	0.0678815	0.23931	0.516222	0.189395	-0.181431	-0.0578056	-0.357911	0.523335	-0.310751	0.0308394	-0.199343	0.595455	-0.294005	0.0544245	0.325169
3	-0.0849326	-1.10641	0.365945	0.0725415	0.537257	0.206113	-0.338599	-0.444057	-0.579009	0.455495	0.441061	0.1892	-0.128258	-0.349149	0.156642	-0.148709	0.368065	0.268298	-0.469185	-0.348445	-0.195037	0.12588	0.597802	-0.377044	-0.584787	-0.86753	-0.310701	-0.442408	0.332893	0.0962207	-0.398114	-0.550118	0.0357265	0.246537	0.554629	0.101299	-0.227139	-0.394028	-0.287169	0.614707	0.195158	0.146092	0.365314	-0.703889	-0.248167	0.421625	-0.130328	0.578461	-0.540361	-0.100891	-0.475721	0.401659	0.416201	0.548235	-0.352008	-0.402501	-0.317377	0.308969	0.92969	0.836508	0.0219342	-0.483596	-0.336582	-0.00626706	-0.162588	-0.0312637	-0.177089	-0.043889	-0.358966	-0.0384253	0.397046	0.00309543
4	-0.413468	-0.648959	0.25741	0.910432	0.287402	0.299285	-0.0792935	0.186079	-0.0837568	0.740546	0.463791	0.340812	0.34862	-0.731603	0.0367605	0.675347	0.469959	0.073812	0.0884198	-0.228698	-0.22728	0.286336	0.662315	0.366298	-0.528684	-0.496039	0.0145044	0.0813818	0.5378	0.118368	0.388345	-0.748627	-0.53314	0.30083	0.681106	0.402057	-0.0282426	-0.50679	-0.461536	0.0284169	0.286189	-0.298465	0.0378073	-0.428556	0.200661	0.0541231	0.364101	-0.0682006	-0.452131	-0.294372	-0.821019	0.179182	0.194722	0.774448	-0.136484	-0.0602098	-0.663122	-0.260979	0.506453	0.400152	0.36274	-0.387988	-0.335401	-0.128944	0.409433	-0.127355	-0.43162	-0.320427	-0.213606	0.545309	0.678676	-0.110455
5	-0.498941	-0.399049	-0.52642	0.514269	0.467739	0.101903	0.0248229	-0.946587	0.75433	-0.0604375	0.505276	-0.115158	-0.462821	-0.356378	0.374205	0.239334	0.788061	0.187726	-0.595459	-0.151936	0.0956162	-0.0225422	0.633241	0.228686	-0.161539	-1.02883	-0.237852	-0.00964675	0.289788	0.142167	-0.237074	-0.906884	-0.26285	0.345306	0.0635121	0.485168	-0.320299	-0.352735	-0.178968	0.391188	0.287025	0.284598	0.428756	-0.277935	-0.33544	-0.150589	0.271016	0.0869423	-0.3575	-0.897331	-0.0354181	0.0346091	0.431243	0.337076	-0.0619536	-0.82198	-0.678132	0.0365913	0.706026	0.531646	-0.85035	-0.276102	-0.0286454	0.768732	0.559824	0.165812	0.25925	-0.48926	-0.0973086	0.057782	0.1726	0.664494
6	-0.179716	-0.343456	-0.700434	-0.20532	0.402255	0.113943	-0.513872	-0.616925	-0.473028	-0.0251034	0.481345	-0.123137	-0.554367	-0.17907	0.175657	-0.0663055	0.247118	-0.327137	-0.538688	-0.0283111	-0.511753	-0.0747645	0.455794	0.144512	-0.418251	-0.224541	-0.31557	0.556816	0.510518	0.453689	-0.326407	-0.605493	-0.00811321	0.439544	0.72479	-0.0167809	-0.417078	-0.567647	-0.209423	0.0689412	0.29616	-0.350515	-0.668639	-0.397715	-0.739253	0.121908	0.00489173	0.644248	-0.139274	-0.976956	-0.28953	0.3135	1.22971	0.129548	-0.114557	-0.564674	-0.372376	0.193795	0.336061	0.464549	-0.265996	-0.20667	0.196242	0.395128	0.93328	-0.134005	-0.382457	-0.834623	-0.512845	0.368923	0.377621	0.574062
7	0.283974	-0.260689	-0.130048	0.4044	-0.289143	0.419658	-0.364428	-0.0212343	0.0415326	0.536517	0.660988	0.334778	-0.215749	-0.259326	-0.262362	-0.23493	0.354177	0.0204759	-0.249434	-0.597737	-0.130066	-0.235201	0.317277	-0.0724478	-0.578775	-0.341159	-0.153732	-0.00255174	0.333902	0.33841	-0.878414	-0.0141507	0.0685254	0.174987	0.635057	0.166265	0.161114	-0.608801	0.511028	0.342929	-0.122912	-0.0161762	0.157919	-0.0969818	-0.194252	0.173261	0.478849	0.726075	-0.213026	-0.845819	-0.380836	0.326728	0.321734	0.504084	-0.68682	-0.356768	-0.0463997	0.397316	0.462863	0.112728	0.0560054	-0.689112	-0.0744161	0.552955	0.712163	0.627928	-0.293411	-0.389927	-0.306552	-0.352336	0.575848	-0.0890991
8	-0.665898	-0.0257244	-0.24092	0.446362	0.420618	0.541607	-0.476385	-0.257785	-0.676121	0.315815	0.259237	0.48525	-0.21205	-0.3199	0.307015	-0.288435	-0.313057	-0.323875	-0.293332	-0.337939	0.0377093	0.61484	0.203268	-0.314462	-0.241511	-0.305621	-0.357736	0.506195	0.370087	0.0838306	-0.440429	0.0285112	-0.112751	0.639292	0.38446	0.376766	-0.356857	-0.231439	-0.0976179	-0.445763	-0.254233	0.320906	-0.127256	0.158799	-0.35995	-0.00694476	-0.456273	0.471408	-0.0660883	-1.01011	-0.413069	0.37064	0.55335	0.0781839	-0.325579	-1.0272	-0.25432	-0.212563	0.110877	0.380966	0.0618026	0.113718	-0.0868815	0.313262	0.757796	0.249569	-0.583877	-0.603717	-0.0760589	0.111178	0.412828	0.213517
9	0.580345	-0.214701	-0.15755	0.113255	0.633397	0.238109	0.206452	-0.605962	-0.345083	0.168846	0.225161	0.346489	-0.595079	-0.265666	0.363656	-0.650362	0.362298	0.187804	0.123955	-0.306939	-0.109458	-0.429395	0.133837	0.0578308	-0.711871	0.143666	0.229674	0.479538	0.126839	0.164812	-0.231192	0.0598977	0.0732655	0.130854	0.106102	0.0842396	-0.603504	-0.0330757	0.253302	-0.0931113	0.267992	0.197641	0.184225	-0.150784	-0.0529231	0.284955	0.0740696	0.307055	-0.257588	-0.546673	-0.18297	0.421687	0.337804	0.206987	0.0426982	-0.531513	0.114325	0.211591	0.793628	0.461785	-0.202634	-0.396029	-0.599466	0.343014	0.707865	-0.00257915	-0.090883	-0.171304	-0.191043	0.0235244	0.297525	0.211949
