,toybin0000
0,0.299413
1,0.310362
2,0.34883
3,0.430672
4,0.276918
5,0.447696
6,0.437887
7,0.445944
8,0.465767
9,0.454648
10,0.334075
11,0.403088
12,0.496697
13,0.565004
14,0.565004
15,0.536484
16,0.513363
17,0.482629
18,0.456838
19,0.402884
20,0.406236
21,0.401235
22,0.384187
23,0.454559
24,0.38901
25,0.424055
26,0.419233
27,0.515563
28,0.590534
29,0.61044
30,0.624982
31,0.455254
32,0.559459
33,0.543041
34,0.511539
35,0.524959
36,0.341155
37,0.346808
38,0.341455
39,0.388998
40,0.401391
41,0.422704
42,0.351036
43,0.431494
44,0.420358
45,0.393265
46,0.51712
47,0.610958
48,0.461234
49,0.475619
50,0.32716
51,0.435926
52,0.60884
53,0.570444
54,0.446963
55,0.263706
56,0.233919
57,0.285741
58,0.404407
59,0.399921
60,0.458374
61,0.362532
62,0.364721
63,0.364721
64,0.391613
65,0.431074
66,0.537837
67,0.53826
68,0.401262
69,0.325901
70,0.454393
71,0.338184
72,0.357716
73,0.413776
74,0.502023
75,0.377997
76,0.454195
77,0.359936
78,0.454765
79,0.451255
80,0.36045
81,0.422591
82,0.362456
83,0.480675
84,0.369718
85,0.513062
86,0.520674
87,0.495303
88,0.30798
89,0.195792
90,0.193596
91,0.42676
92,0.39284
93,0.52177
94,0.286752
95,0.424597
96,0.400368
97,0.36192
98,0.342085
99,0.428839
100,0.0944947
101,0.141367
102,0.405974
103,0.331811
104,0.294215
105,0.274786
106,0.387709
107,0.506064
108,0.36769
109,0.401666
110,0.393563
111,0.407214
112,0.424232
113,0.427544
114,0.490246
115,0.262046
116,0.526862
117,0.373464
118,0.445369
119,0.361169
120,0.493836
121,0.465553
122,0.293227
123,0.309563
124,0.23392
125,0.488607
126,0.523734
127,0.485072
128,0.337723
129,0.322579
130,0.265192
131,0.34259
132,0.441128
133,0.259097
134,0.655431
135,0.129774
136,0.750439
137,0.781752
138,0.773856
139,0.769364
140,0.791532
141,0.00438264
142,0.101294
143,0.208922
144,0.556228
145,0.541036
