pol	phi
0.3	-39.893
0.3	164.545
0.3	24.2108
0.3	-57.8917
0.3	85.1754
0.3	178.965
0.3	75.0078
0.3	124.017
0.3	105.671
0.3	-150.217
0.3	65.9809
0.3	179.917
0.3	17.0772
0.3	42.0334
0.3	-30.7463
0.3	174.554
0.3	-83.725
0.3	42.4298
0.3	-172.186
0.3	143.031
0.3	-33.7604
0.3	-76.4382
0.3	106.355
0.3	1.99539
0.3	-35.7423
0.3	66.2223
0.3	-32.3438
0.3	140.266
0.3	43.2518
0.3	-92.624
0.3	167.215
0.3	-129.958
0.3	162.08
0.3	92.3852
0.3	76.6382
0.3	-62.9219
0.3	-139.034
0.3	80.2913
0.3	-174.504
0.3	-125.704
0.3	-67.4985
0.3	-144.045
0.3	-136.082
0.3	-71.896
0.3	83.9224
0.3	-91.9413
0.3	68.6628
0.3	16.403
0.3	123.149
0.3	-170.783
0.3	-179.113
0.3	153.519
0.3	54.1995
0.3	-96.7414
0.3	87.7087
0.3	-43.2395
0.3	-110.618
0.3	-2.85133
0.3	-62.0747
0.3	-10.8084
0.3	-2.89979
0.3	-108.862
0.3	-109.719
0.3	160.887
0.3	-88.3541
0.3	-43.9263
0.3	-171.813
0.3	-81.8191
0.3	-178.939
0.3	1.34412
0.3	101.827
0.3	-28.6492
0.3	157.513
0.3	80.5185
0.3	37.7848
0.3	-11.1942
0.3	118.574
0.3	-91.5875
0.3	166.213
0.3	22.2476
0.3	-179.441
0.3	104.546
0.3	-4.30141
0.3	-38.7514
0.3	94.4081
0.3	109.831
0.3	41.1787
0.3	143.771
0.3	-176.986
0.3	-164.859
0.3	168.269
0.3	52.8073
0.3	-128.165
0.3	95.9779
0.3	-22.3012
0.3	-31.4629
0.3	34.0663
0.3	-174.583
0.3	161.67
0.3	-46.4237
0.3	-154.281
0.3	109.26
0.3	174.957
0.3	-139.388
0.3	-130.604
0.3	22.128
0.3	113.114
0.3	-6.63929
0.3	15.3959
0.3	-98.8891
0.3	-44.7658
0.3	-83.4883
0.3	43.3109
0.3	-156.482
0.3	22.665
0.3	-179.022
0.3	-11.0157
0.3	-42.2159
0.3	-34.7803
0.3	83.246
0.3	63.0462
0.3	-133.275
0.3	-25.7121
0.3	-108.129
0.3	4.17857
0.3	-69.6386
0.3	79.3938
0.3	-65.0376
0.3	58.6146
0.3	152.811
0.3	-150.122
0.3	-178.818
0.3	-39.9627
0.3	61.8813
0.3	-60.7909
0.3	96.7244
0.3	-96.7147
0.3	-127.741
0.3	-66.0871
0.3	-101.206
0.3	-97.022
0.3	-64.3259
0.3	-170.854
0.3	-81.1461
0.3	117.259
0.3	128.413
0.3	-92.2111
0.3	102.168
0.3	-102.929
0.3	-8.14775
0.3	109.565
0.3	-171.923
0.3	-114.146
0.3	-43.0456
0.3	-88.2031
0.3	57.6949
0.3	-85.6125
0.3	-90.9782
0.3	-159.444
0.3	66.1436
0.3	64.1407
0.3	113.368
0.3	118.996
0.3	93.1775
0.3	127.844
0.3	144.281
0.3	107.183
0.3	79.3781
0.3	147.011
0.3	123.573
0.3	-145.151
0.3	134.025
0.3	-72.0218
0.3	-152.482
0.3	3.21572
0.3	89.2157
0.3	-3.5812
0.3	90.5658
0.3	-88.6952
0.3	68.0606
0.3	14.6547
0.3	99.0695
0.3	-157.086
0.3	119.639
0.3	62.8532
0.3	-70.3614
0.3	68.6762
0.3	78.217
0.3	166.526
0.3	-7.41072
0.3	135.82
0.3	-69.8647
0.3	-54.367
0.3	-122.797
0.3	-39.9784
0.3	129.973
0.3	-161.497
0.3	153.131
0.3	-17.8797
0.3	-69.5037
0.3	-80.1751
0.3	33.0999
0.3	-174.721
0.3	36.9969
0.3	71.4376
0.3	-109.772
0.3	176.919
0.3	15.2177
0.3	-62.3509
0.3	105.65
0.3	-128.235
0.3	132.12
0.3	-67.4323
0.3	90.2229
0.3	-77.3479
0.3	173.878
0.3	-129.392
0.3	-9.08657
0.3	25.5963
0.3	-24.068
0.3	-131.112
0.3	-42.4933
0.3	27.5141
0.3	60.8182
0.3	78.8995
0.3	-86.6436
0.3	-143.464
0.3	-141.455
0.3	-63.1338
0.3	-41.6593
0.3	26.6746
0.3	141.844
0.3	-99.5394
0.3	-169.255
0.3	56.1715
0.3	-127.667
0.3	-84.6752
0.3	-124.255
0.3	-16.3064
0.3	-64.1953
0.3	-122.394
0.3	-6.72594
0.3	101.722
0.3	26.8695
0.3	25.5679
0.3	5.801
0.3	94.9907
0.3	165.883
0.3	7.27782
0.3	-9.42724
0.3	-71.452
0.3	96.6153
0.3	175.245
0.3	84.6319
0.3	56.3011
0.3	-129.933
0.3	-131.644
0.3	-44.8058
0.3	35.1558
0.3	-101.312
0.3	-42.2196
0.3	-128.492
0.3	93.4252
0.3	61.6873
0.3	-67.4303
0.3	-95.6108
0.3	-148.859
0.3	-31.0143
0.3	101.7
0.3	-110.294
0.3	33.2474
0.3	-56.4748
0.3	-173.874
0.3	-52.2839
0.3	89.2509
0.3	146.967
0.3	86.6147
0.3	-168.938
0.3	167.934
0.3	169.332
0.3	-178.303
0.3	-37.7841
0.3	93.9902
0.3	-27.2826
0.3	147.031
0.3	-100.3
0.3	-11.0709
0.3	-142.512
0.3	136.959
0.3	-64.4098
0.3	96.2179
0.3	-46.9251
0.3	-97.5041
0.3	-70.9847
0.3	98.9546
0.3	-107.628
0.3	114.7
0.3	102.917
0.3	-63.1548
0.3	-83.0562
0.3	80.3927
0.3	-134.41
0.3	-169.153
0.3	135.187
0.3	80.3854
0.3	-74.4964
0.3	-58.4661
0.3	-125.275
0.3	146.138
0.3	178.426
0.3	-13.2443
0.3	6.13609
0.3	-155.633
0.3	-114.56
0.3	-66.0976
0.3	90.1768
0.3	-28.5891
0.3	140.597
0.3	82.843
0.3	156.109
0.3	-36.7932
0.3	109.786
0.3	-93.906
0.3	169.575
0.3	-98.2222
0.3	114.902
0.3	155.352
0.3	-165.217
0.3	-147.125
0.3	-112.742
0.3	0.718637
0.3	134.576
0.3	164.38
0.3	-7.50737
0.3	-36.6545
0.3	-33.2598
0.3	131.786
0.3	-115.606
0.3	34.5857
0.3	-70.3515
0.3	30.3127
0.3	-50.1489
0.3	-150.448
0.3	-11.4985
0.3	-149.533
0.3	-38.0109
0.3	-101.196
0.3	169.051
0.3	32.1104
0.3	-88.6175
0.3	113.876
0.3	-97.5144
0.3	-171.296
0.3	45.6053
0.3	-140.935
0.3	-61.2275
0.3	141.695
0.3	-3.17109
0.3	-11.2893
0.3	-168.834
0.3	-42.1672
0.3	121.333
0.3	-10.3685
0.3	53.3457
0.3	161.674
0.3	-170.526
0.3	-159.629
0.3	103.031
0.3	-66.0625
0.3	22.6057
0.3	-86.0212
0.3	-37.09
0.3	91.3174
0.3	-59.6811
0.3	91.6566
0.3	-133.783
0.3	175.873
0.3	101.655
0.3	127.061
0.3	-61.8249
0.3	-62.724
0.3	112.089
0.3	-162.188
0.3	-162.114
0.3	-40.8586
0.3	-170.645
0.3	-87.8872
0.3	101.055
0.3	-158.23
0.3	-130.9
0.3	-61.7396
0.3	92.25
0.3	-103.745
0.3	-29.8541
0.3	32.6324
0.3	100.063
0.3	-131.892
0.3	86.3887
0.3	83.3874
0.3	67.459
0.3	147.304
0.3	-3.37867
0.3	-93.1987
0.3	-157.047
0.3	-125.011
0.3	-79.5977
0.3	138.898
0.3	154.448
0.3	55.5181
0.3	79.3718
0.3	25.0604
0.3	166.819
0.3	-4.31948
0.3	44.2324
0.3	-40.8454
0.3	137.608
0.3	-16.4633
0.3	-167.032
0.3	145.789
0.3	56.8308
0.3	-26.9119
0.3	-127.957
0.3	140.38
0.3	-106.17
0.3	-95.035
0.3	32.3755
0.3	21.6415
0.3	-98.2542
0.3	-91.6955
0.3	52.7155
0.3	-161.479
0.3	49.49
0.3	52.1808
0.3	-27.971
0.3	88.9276
0.3	-64.7131
0.3	78.0152
0.3	-11.8172
0.3	12.3656
0.3	-61.3017
0.3	-23.9104
0.3	149.114
0.3	-80.9314
0.3	-33.5635
0.3	-0.0934943
0.3	125.454
0.3	-45.7017
0.3	-69.6343
0.3	174.929
0.3	-129.601
0.3	-51.2053
0.3	171.776
0.3	-5.15093
0.3	41.3359
0.3	-156.561
0.3	-126.885
0.3	-148.795
0.3	-74.183
0.3	-177.986
0.3	-168.07
0.3	117.384
0.3	10.9544
0.3	-17.0403
0.3	-55.7236
0.3	120.452
0.3	-63.7884
0.3	97.7429
0.3	52.3392
0.3	5.38429
0.3	108.748
0.3	58.5577
0.3	77.1706
0.3	-100.336
0.3	-20.6522
0.3	29.6205
0.3	66.7611
0.3	104.708
0.3	157.875
0.3	81.252
0.3	20.3513
0.3	67.7641
0.3	-69.5083
0.3	-102.745
0.3	-22.1289
0.3	-137.179
0.3	81.1403
0.3	-64.6497
0.3	-45.4011
0.3	59.5068
0.3	113.911
0.3	-129.371
0.3	95.9277
0.3	157.056
0.3	85.2836
0.3	129.674
0.3	167.845
0.3	-175.333
0.3	127.396
0.3	-62.1298
0.3	139.04
0.3	116.212
0.3	113.767
0.3	-5.04844
0.3	47.8785
0.3	-147.477
0.3	47.6738
0.3	-90.1962
0.3	-42.6458
0.3	142.946
0.3	-79.2525
0.3	-69.6486
0.3	40.6119
0.3	-53.9722
0.3	141.627
0.3	149.613
0.3	-173.596
0.3	55.8281
0.3	39.8745
0.3	49.6202
0.3	-101.868
0.3	175.398
0.3	2.98906
0.3	-11.2079
0.3	-127.47
