pol	setting	phi
0.3	45	41.9971
0.3	45	-90.0718
0.3	45	-133.641
0.3	45	-130.076
0.3	45	24.4086
0.3	45	-51.1021
0.3	45	-26.4616
0.3	45	-152.784
0.3	45	-45.0412
0.3	45	4.2258
0.3	45	-159.003
0.3	45	-111.311
0.3	45	124.222
0.3	45	127.961
0.3	45	157.758
0.3	45	93.1493
0.3	45	-128.594
0.3	45	38.5472
0.3	45	-86.4726
0.3	45	6.05542
0.3	45	-68.1401
0.3	45	-166.401
0.3	45	-99.8309
0.3	45	112.332
0.3	45	-105.579
0.3	45	65.958
0.3	45	-7.8678
0.3	45	-153.147
0.3	45	116.366
0.3	45	50.488
0.3	45	-21.7042
0.3	45	64.8512
0.3	45	-41.9295
0.3	45	-56.3294
0.3	45	-154.037
0.3	45	-27.5885
0.3	45	-7.39986
0.3	45	4.30867
0.3	45	91.7838
0.3	45	-88.9173
0.3	45	-94.0677
0.3	45	-16.7969
0.3	45	41.9602
0.3	45	-12.3305
0.3	45	26.4249
0.3	45	-17.0744
0.3	45	-139.26
0.3	45	-96.9758
0.3	45	-115.583
0.3	45	-96.5676
0.3	45	169.015
0.3	45	175.371
0.3	45	-170.475
0.3	45	-162.837
0.3	45	-60.2221
0.3	45	-26.8327
0.3	45	-109.257
0.3	45	-32.3211
0.3	45	68.5631
0.3	45	52.6111
0.3	45	143.379
0.3	45	109.08
0.3	45	133.29
0.3	45	-46.0482
0.3	45	156.077
0.3	45	-104.955
0.3	45	37.4246
0.3	45	14.2173
0.3	45	-35.881
0.3	45	48.1116
0.3	45	112.383
0.3	45	-42.8933
0.3	45	150.906
0.3	45	-60.5652
0.3	45	-10.6309
0.3	45	-74.5801
0.3	45	-77.822
0.3	45	153.755
0.3	45	22.061
0.3	45	96.6226
0.3	45	131.247
0.3	45	-61.9272
0.3	45	119.802
0.3	45	81.1078
0.3	45	-105.114
0.3	45	-149.215
0.3	45	3.76916
0.3	45	23.3596
0.3	45	5.17422
0.3	45	41.1024
0.3	45	-3.28367
0.3	45	102.569
0.3	45	17.0548
0.3	45	-80.7401
0.3	45	155.749
0.3	45	-0.400317
0.3	45	-152.039
0.3	45	89.9227
0.3	45	-3.80097
0.3	45	125.069
0.3	45	28.4363
0.3	45	41.5659
0.3	45	-106.058
0.3	45	-129.453
0.3	45	-35.0568
0.3	45	20.0815
0.3	45	-1.29003
0.3	45	-39.6504
0.3	45	129.302
0.3	45	-23.7706
0.3	45	52.7564
0.3	45	41.7474
0.3	45	-19.9604
0.3	45	-41.3583
0.3	45	20.5518
0.3	45	73.5907
0.3	45	-162.89
0.3	45	-147.515
0.3	45	-162.401
0.3	45	-8.0156
0.3	45	-114.506
0.3	45	-143.77
0.3	45	-4.89914
0.3	45	-106.017
0.3	45	-91.0623
0.3	45	-174.072
0.3	45	-61.9116
0.3	45	135.604
0.3	45	-167.867
0.3	45	-167.22
0.3	45	3.79595
0.3	45	136.036
0.3	45	-93.8513
0.3	45	-175.435
0.3	45	23.1866
0.3	45	-8.71978
0.3	45	-53.9411
0.3	45	-12.415
0.3	45	160.088
0.3	45	131.537
0.3	45	41.4165
0.3	45	-96.5799
0.3	45	93.9289
0.3	45	-25.8521
0.3	45	-67.6548
0.3	45	-172.011
0.3	45	-141.611
0.3	45	34.3477
0.3	45	-13.4403
0.3	45	22.3212
0.3	45	147.768
0.3	45	-28.5033
0.3	45	154.159
0.3	45	149.508
0.3	45	-174.627
0.3	45	31.0015
0.3	45	154.635
0.3	45	66.4852
0.3	45	-12.3643
0.3	45	134.151
0.3	45	166.062
0.3	45	-12.2843
0.3	45	105.584
0.3	45	-154.195
0.3	45	-77.1581
0.3	45	25.5697
0.3	45	99.5784
0.3	45	30.4932
0.3	45	99.9295
0.3	45	-157.495
0.3	45	35.4368
0.3	45	140.517
0.3	45	67.7489
0.3	45	135.322
0.3	45	89.7122
0.3	45	152.802
0.3	45	-120.665
0.3	45	78.1398
0.3	45	30.1489
0.3	45	45.2868
0.3	45	-64.286
0.3	45	118.604
0.3	45	84.1444
0.3	45	-45.1723
0.3	45	159.394
0.3	45	68.8843
0.3	45	32.6638
0.3	45	-161.485
0.3	45	102.143
0.3	45	-102.011
0.3	45	-66.5243
0.3	45	107.227
0.3	45	-42.2827
0.3	45	-0.243386
0.3	45	167.43
0.3	45	29.2526
0.3	45	-36.3961
0.3	45	36.8927
0.3	45	-146.495
0.3	45	70.5257
0.3	45	-83.3111
0.3	45	-24.8507
0.3	45	-16.3257
0.3	45	-92.6377
0.3	45	16.8832
0.3	45	-38.7164
0.3	45	56.3363
0.3	45	149.419
0.3	45	-65.0444
0.3	45	-98.1107
0.3	45	-36.6707
0.3	45	-25.296
0.3	45	80.5575
0.3	45	100.544
0.3	45	-93.6985
0.3	45	-95.0762
0.3	45	20.1728
0.3	45	-43.9647
0.3	45	-162.059
0.3	45	57.3234
0.3	45	-164.577
0.3	45	146.211
0.3	45	54.0433
0.3	45	48.1205
0.3	45	44.9946
0.3	45	-176.822
0.3	45	29.5063
0.3	45	-23.361
0.3	45	-160.487
0.3	45	-22.5619
0.3	45	127.295
0.3	45	-156.787
0.3	45	-46.4239
0.3	45	-143.637
0.3	45	149.443
0.3	45	16.7165
0.3	45	-161.645
0.3	45	-54.8979
0.3	45	-25.206
0.3	45	-48.2117
0.3	45	143.821
0.3	45	82.6221
0.3	45	-178.402
0.3	45	-66.8638
0.3	45	51.3263
0.3	45	-94.8017
0.3	45	-4.38499
0.3	45	7.11422
0.3	45	137.092
0.3	45	-84.8665
0.3	45	32.9653
0.3	45	41.3838
0.3	45	115.141
0.3	45	-146.463
0.3	45	77.2266
0.3	45	-59.1789
0.3	45	111.245
0.3	45	-155.998
0.3	45	-126.054
0.3	45	110.024
0.3	45	32.2041
0.3	45	-20.7302
0.3	45	-19.811
0.3	45	-151.845
0.3	45	-74.7726
0.3	45	138.547
0.3	45	47.9545
0.3	45	62.8794
0.3	45	-177.514
0.3	45	-74.2747
0.3	45	-86.7918
0.3	45	149.668
0.3	45	141.094
0.3	45	145.409
0.3	45	-133.135
0.3	45	152.787
0.3	45	-97.1694
0.3	45	-9.9278
0.3	45	141.825
0.3	45	83.9753
0.3	45	-48.3904
0.3	45	-51.7567
0.3	45	-20.1111
0.3	45	129.287
0.3	45	-139.192
0.3	45	-8.19126
0.3	45	-11.8634
0.3	45	138.036
0.3	45	-78.8632
0.3	45	28.1919
0.3	45	38.5481
0.3	45	-35.0916
0.3	45	-178.083
0.3	45	97.3796
0.3	45	-64.1467
0.3	45	99.1623
0.3	45	93.6844
0.3	45	-117.555
0.3	45	96.8289
0.3	45	169.428
0.3	45	-142.998
0.3	45	-66.8282
0.3	45	166.624
0.3	45	-107.753
0.3	45	-107.246
0.3	45	-112.537
0.3	45	-136.939
0.3	45	4.5657
0.3	45	94.6556
0.3	45	151.686
0.3	45	6.00825
0.3	45	125.12
0.3	45	-109.922
0.3	45	-7.81669
0.3	45	122.285
0.3	45	66.4902
0.3	45	177.007
0.3	45	147.205
0.3	45	-84.0185
0.3	45	26.8072
0.3	45	134.253
0.3	45	-135.317
0.3	45	-68.1561
0.3	45	-57.3197
0.3	45	-61.7269
0.3	45	93.358
0.3	45	-172.29
0.3	45	-52.201
0.3	45	-103.212
0.3	45	174.24
0.3	45	-150.603
0.3	45	-95.008
0.3	45	42.7495
0.3	45	164.985
0.3	45	11.1079
0.3	45	-101.259
0.3	45	-117.067
0.3	45	-150.841
0.3	45	-163.015
0.3	45	139.513
0.3	45	129.395
0.3	45	102.739
0.3	45	-45.5961
0.3	45	18.0705
0.3	45	-115.978
0.3	45	-145.488
0.3	45	52.4791
0.3	45	-109.109
0.3	45	42.0878
0.3	45	61.5995
0.3	45	-1.3453
0.3	45	66.7554
0.3	45	112.167
0.3	45	-171.356
0.3	45	27.7174
0.3	45	176.412
0.3	45	75.1244
0.3	45	74.9371
0.3	45	78.2946
0.3	45	119.485
0.3	45	-122.613
0.3	45	34.8479
0.3	45	-48.5424
0.3	45	-163.889
0.3	45	46.9493
0.3	45	96.8178
0.3	45	114.272
0.3	45	11.7701
0.3	45	117.357
0.3	45	56.8302
0.3	45	-6.66122
0.3	45	-168.177
0.3	45	173.827
0.3	45	-174.802
0.3	45	-128.177
0.3	45	-109.038
0.3	45	9.42496
0.3	45	-37.2616
0.3	45	-104.05
0.3	45	-12.7944
0.3	45	34.8396
0.3	45	-116.946
0.3	45	165.327
0.3	45	125.548
0.3	45	-110.6
0.3	45	100.203
0.3	45	100.637
0.3	45	-149.195
0.3	45	89.5976
0.3	45	-29.4016
0.3	45	-153.016
0.3	45	58.0243
0.3	45	57.5466
0.3	45	96.3674
0.3	45	129.913
0.3	45	170.613
0.3	45	-71.0288
0.3	45	-130.79
0.3	45	-64.5675
0.3	45	-35.4717
0.3	45	64.3195
0.3	45	-54.1471
0.3	45	-11.4524
0.3	45	-134.91
0.3	45	-47.7709
0.3	45	123.312
0.3	45	-61.37
0.3	45	64.8177
0.3	45	-124.586
0.3	45	-34.543
0.3	45	-75.4814
0.3	45	50.4034
0.3	45	-93.5204
0.3	45	-40.5577
0.3	45	-134.497
0.3	45	116.296
0.3	45	102.568
0.3	45	120.936
0.3	45	113.56
0.3	45	-107.264
0.3	45	50.6106
0.3	45	-20.4899
0.3	45	10.569
0.3	45	90.9159
0.3	45	-130.872
0.3	45	-106.712
0.3	45	-143.739
0.3	45	73.6839
0.3	45	-15.3824
0.3	45	21.3334
0.3	45	-53.6405
0.3	45	-23.3207
0.3	45	-158.791
0.3	45	-68.7031
0.3	45	-129.211
0.3	45	-58.6092
0.3	45	17.4411
0.3	45	140.479
0.3	45	-176.587
0.3	45	157.892
0.3	45	39.1306
0.3	45	140.504
0.3	45	31.0808
0.3	45	-97.5163
0.3	45	0.0290761
0.3	45	-23.363
0.3	45	101.324
0.3	45	29.9428
0.3	45	170.611
0.3	45	72.3318
0.3	45	123.367
0.3	45	-167.638
0.3	45	-106.076
0.3	45	103.46
0.3	45	-162.3
0.3	45	-26.9368
0.3	45	112.323
0.3	45	1.38367
0.3	45	-150.657
0.3	45	143.761
0.3	45	143.186
0.3	45	12.5714
0.3	45	-146.49
0.3	45	169.265
0.3	45	40.0626
0.3	45	-74.0309
0.3	45	-105.152
0.3	45	66.754
0.3	45	-156.96
0.3	45	131.364
0.3	45	145.795
0.3	45	-66.4882
0.3	45	-20.3356
0.3	45	171.701
0.3	45	-88.7209
0.3	45	-89.6664
0.3	45	13.6623
0.3	45	77.6406
0.3	45	-54.4515
0.3	45	167.272
0.3	45	163.52
0.3	45	32.6246
0.3	45	13.7951
0.3	45	12.1381
0.3	45	28.9182
0.3	45	-116.603
0.3	45	101.338
0.3	45	100.473
0.3	45	116.211
0.3	45	81.4195
0.3	45	-81.749
0.3	45	-56.5795
0.3	45	137.648
0.3	45	122.567
0.3	45	-89.2957
0.3	45	104.479
0.3	45	146.688
0.3	45	72.8101
0.3	45	57.9689
0.3	45	78.7083
0.3	45	151.944
0.3	45	138.52
