 W/[MeV]  ,Theta  ,cosTheta   ,-t[GeVÂ²]  ,  dcs      ,   ds/dt   ,    T     ,    F     ,  Sigma    ,   E     ,    G      ,   H     ,    P      ,dcs_1/2   ,dcs_3/2
1946.00,0.0,1.0000,0.2230,0.05291,1.0162474,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.10582,0.00000
1946.00,2.0,0.9994,0.2232,0.05296,1.0171545,0.00180,-0.02682,-0.00012,0.99964,-0.00014,0.02065,-0.02064,0.10590,0.00002
1946.00,4.0,0.9976,0.2238,0.05310,1.0198593,0.00348,-0.05329,-0.00050,0.99857,-0.00055,0.04110,-0.04101,0.10612,0.00008
1946.00,6.0,0.9945,0.2248,0.05333,1.0243128,0.00493,-0.07907,-0.00111,0.99684,-0.00124,0.06115,-0.06086,0.10649,0.00017
1946.00,8.0,0.9903,0.2262,0.05365,1.0304344,0.00604,-0.10385,-0.00195,0.99452,-0.00223,0.08061,-0.07995,0.10700,0.00029
1946.00,10.0,0.9848,0.2280,0.05405,1.0381142,0.00668,-0.12735,-0.00300,0.99170,-0.00352,0.09933,-0.09807,0.10765,0.00045
1946.00,12.0,0.9781,0.2301,0.05452,1.0472154,0.00677,-0.14933,-0.00425,0.98850,-0.00513,0.11713,-0.11504,0.10842,0.00063
1946.00,14.0,0.9703,0.2327,0.05506,1.0575775,0.00618,-0.16958,-0.00567,0.98503,-0.00706,0.13388,-0.13071,0.10930,0.00082
1946.00,16.0,0.9613,0.2357,0.05566,1.0690201,0.00483,-0.18796,-0.00725,0.98142,-0.00930,0.14946,-0.14497,0.11028,0.00103
1946.00,18.0,0.9511,0.2390,0.05630,1.0813471,0.00261,-0.20436,-0.00896,0.97779,-0.01186,0.16378,-0.15775,0.11135,0.00125
1946.00,20.0,0.9397,0.2427,0.05698,1.0943506,-0.00055,-0.21871,-0.01076,0.97424,-0.01469,0.17676,-0.16898,0.11249,0.00147
1946.00,22.0,0.9272,0.2468,0.05768,1.1078156,-0.00474,-0.23099,-0.01265,0.97088,-0.01776,0.18832,-0.17867,0.11368,0.00168
1946.00,24.0,0.9135,0.2513,0.05839,1.1215245,-0.01003,-0.24119,-0.01458,0.96778,-0.02102,0.19841,-0.18680,0.11490,0.00188
1946.00,26.0,0.8988,0.2561,0.05911,1.1352609,-0.01648,-0.24936,-0.01654,0.96501,-0.02438,0.20700,-0.19340,0.11615,0.00207
1946.00,28.0,0.8829,0.2613,0.05981,1.1488143,-0.02415,-0.25554,-0.01851,0.96260,-0.02776,0.21406,-0.19851,0.11739,0.00224
1946.00,30.0,0.8660,0.2668,0.06050,1.1619829,-0.03306,-0.25981,-0.02045,0.96057,-0.03105,0.21955,-0.20215,0.11861,0.00239
1946.00,32.0,0.8480,0.2727,0.06115,1.1745776,-0.04325,-0.26224,-0.02236,0.95892,-0.03412,0.22347,-0.20438,0.11980,0.00251
1946.00,34.0,0.8290,0.2789,0.06177,1.1864242,-0.05473,-0.26294,-0.02421,0.95763,-0.03682,0.22581,-0.20523,0.12093,0.00262
1946.00,36.0,0.8090,0.2855,0.06234,1.1973659,-0.06748,-0.26200,-0.02600,0.95666,-0.03901,0.22655,-0.20475,0.12198,0.00270
1946.00,38.0,0.7880,0.2923,0.06286,1.2072649,-0.08149,-0.25952,-0.02770,0.95596,-0.04052,0.22568,-0.20297,0.12294,0.00277
1946.00,40.0,0.7660,0.2995,0.06331,1.2160036,-0.09671,-0.25560,-0.02931,0.95546,-0.04116,0.22321,-0.19992,0.12380,0.00282
1946.00,42.0,0.7431,0.3070,0.06370,1.2234854,-0.11306,-0.25035,-0.03084,0.95508,-0.04075,0.21913,-0.19560,0.12454,0.00286
1946.00,44.0,0.7193,0.3148,0.06402,1.2296350,-0.13046,-0.24385,-0.03227,0.95473,-0.03911,0.21344,-0.19003,0.12514,0.00290
1946.00,46.0,0.6947,0.3229,0.06427,1.2343982,-0.14878,-0.23621,-0.03362,0.95431,-0.03606,0.20615,-0.18321,0.12560,0.00294
1946.00,48.0,0.6691,0.3312,0.06444,1.2377413,-0.16789,-0.22752,-0.03490,0.95373,-0.03140,0.19724,-0.17511,0.12590,0.00298
